Table-VIII: Energy Balance of India for 2019-20 (Final)
Unit: All figures in KToE | Publication pages: 146

Item,Coal # Crude Oil Oil Products Natural Gas Nuclear,Crude Oil Oil Products Natural Gas Nuclear,Crude Oil Oil Products Natural Gas Nuclear (2),Crude Oil Oil Products Natural Gas Nuclear (3),Crude Oil Oil Products Natural Gas Nuclear Hydro,"Solar, Wind, Hydro","Solar, Wind, Hydro Electricity Others",Electricity,Total
Production,308652,32877,0,28685,12111,13426,12440,0,408191
Imports,130997,231947,43047,31171,0,0,0,546,437708
Exports,-715,0,-68496,0,0,0,0,-816,-70027
Stock changes,-13759,0,0,0,0,0,0,0,-13759
Total primary energy supply,425175,264824,-25449,59856,12111,13426,12440,-270,762113
Statistical differences,21116,19290,-24702,-2262,0,0,0,-1527,11916
Main activity producer electricity plants,-267636,0,-877,-10192,-12111,-13396,-11897,118974,-197135
Autoproducer electricity plants,0,0,0,0,0,-30,-543,20603,20030
Oil refineries,0,-259982,267734,0,0,0,0,0,7752
Energy industry own use,0,0,0,-16600,0,0,0,-7164,-23764
Losses,0,-24132,0,-62,0,0,0,-23280,-47475
Final consumption,178656,0,216706,30740,0,0,0,107335,533437
Industry,178656,0,51332,644,0,0,0,45822,276455
Iron and steel,39936,0,1089,0,0,0,0,0,41024
Chemical and petrochemical,948,0,12593,0,0,0,0,0,13541
Non-ferrous metals,0,0,336,0,0,0,0,0,336
Machinery,0,0,165,0,0,0,0,0,165
Mining and quarrying,0,0,1688,0,0,0,0,0,1688
"Paper, pulp and print",837,0,0,0,0,0,0,0,837
Construction,4903,0,1092,0,0,0,0,0,5995
Textile and leather,82,0,63,0,0,0,0,0,145
Non-specified (industry),131949,0,34306,644,0,0,0,45822,212722
Transport,0,0,47806,10494,0,0,0,1647,59947
Road,0,0,35135,10011,0,0,0,0,45146
Domestic aviation,0,0,8524,0,0,0,0,0,8524
Rail,0,0,2627,0,0,0,0,1647,4273
Pipeline transport,0,0,0,483,0,0,0,0,483
Domestic navigation,0,0,1520,0,0,0,0,0,1520
Non-specified (transport),0,0,0,0,0,0,0,0,0
Other,0,0,117568,973,0,0,0,59866,178408
Residential,0,0,28228,0,0,0,0,26552,54780
Commercial and public services,0,0,86,0,0,0,0,9120,9206
Agriculture/forestry,0,0,751,184,0,0,0,18171,19107
Non-specified (other),0,0,88503,789,0,0,0,6023,95315
Non-energy use,0,0,0,18628,0,0,0,0,18628
Non-energy use industry/transformation/energy,0,0,0,18628,0,0,0,0,18628
Non-energy use in transport,0,0,0,0,0,0,0,0,0
Non-energy use in other,0,0,0,0,0,0,0,0,0
Elect. output in GWh,0,0,0,0,"46,472 156,117",,144647,0,347237
Elec output-main activity producer ele plants,0,0,0,0,46472,155769,138337,0,340579
Elec output-autoproducer electricity plants,0,0,0,0,0,348,6310,0,6659

Note: Final consumption refers to End Use Consumption
Note: # Includes lignite
