Table-VII: Energy Balance of India for 2018-19 (Final)
Unit: All figures in KToE | Publication pages: 145

Item,Coal # Crude Oil Oil Products Natural Gas Nuclear,Crude Oil Oil Products Natural Gas Nuclear,Crude Oil Oil Products Natural Gas Nuclear (2),Crude Oil Oil Products Natural Gas Nuclear (3),Crude Oil Oil Products Natural Gas Nuclear Hydro,"Solar, Wind, Hydro","Solar, Wind, Hydro Electricity Others",Electricity,Total
Production,310731,34956,0,30239,9854,11624,11217,0,408621
Imports,123696,231480,33120,26437,0,0,0,378,415111
Exports,-898,0,-63507,0,0,0,0,-728,-65134
Stock changes,2900,0,0,0,0,0,0,0,2900
Total primary energy supply,436430,266436,-30388,56676,9854,11624,11217,-350,761499
Statistical differences,18321,18353,-20292,-1532,0,0,0,-1484,13365
Main activity producer electricity plants,-267302,0,-849,-11043,-9854,-11601,-10901,117973,-193577
Autoproducer electricity plants,0,0,0,0,0,-23,-316,18324,17985
Oil refineries,0,-262863,267135,0,0,0,0,0,4272
Energy industry own use,0,0,0,-15136,0,0,0,-7171,-22308
Losses,0,-21926,0,-86,0,0,0,-23234,-45246
Final consumption,187449,0,215606,28879,0,0,0,104058,535991
Industry,187449,0,51252,999,0,0,0,44651,284351
Iron and steel,41103,0,1175,0,0,0,0,0,42279
Chemical and petrochemical,958,0,12635,0,0,0,0,0,13592
Non-ferrous metals,0,0,407,0,0,0,0,0,407
Machinery,0,0,192,0,0,0,0,0,192
Mining and quarrying,0,0,1589,0,0,0,0,0,1589
"Paper, pulp and print",1014,0,0,0,0,0,0,0,1014
Construction,5325,0,1078,0,0,0,0,0,6403
Textile and leather,705,0,77,0,0,0,0,0,782
Non-specified (industry),138344,0,34100,999,0,0,0,44651,218094
Transport,0,0,46479,8966,0,0,0,1620,57065
Road,0,0,33398,8468,0,0,0,0,41866
Domestic aviation,0,0,8845,0,0,0,0,0,8845
Rail,0,0,2809,0,0,0,0,1620,4429
Pipeline transport,0,0,0,497,0,0,0,0,497
Domestic navigation,0,0,1427,0,0,0,0,0,1427
Non-specified (transport),0,0,0,0,0,0,0,0,0
Other,0,0,117875,980,0,0,0,57787,176642
Residential,0,0,27755,0,0,0,0,24789,52544
Commercial and public services,0,0,97,0,0,0,0,8448,8544
Agriculture/forestry,0,0,782,177,0,0,0,18353,19312
Non-specified (other),0,0,89241,804,0,0,0,6197,96241
Non-energy use,0,0,0,17934,0,0,0,0,17934
Non-energy use industry/transformation/energy,0,0,0,17934,0,0,0,0,17934
Non-energy use in transport,0,0,0,0,0,0,0,0,0
Non-energy use in other,0,0,0,0,0,0,0,0,0
Elect. output in GWh,0,0,0,0,"37,813 135,164",,130433,0,303409
Elec output-main activity producer ele plants,0,0,0,0,37813,134894,126759,0,299465
Elec output-autoproducer electricity plants,0,0,0,0,0,270,3674,0,3944

Note: Final consumption refers to End Use Consumption
Note: # Includes lignite
