Table-VI: Energy Balance of India for 2017-18 (Final)
Unit: All figures in KToE | Publication pages: 144

Item,Coal # Crude Oil Oil Products Natural Gas Nuclear,Crude Oil Oil Products Natural Gas Nuclear,Crude Oil Oil Products Natural Gas Nuclear (2),Crude Oil Oil Products Natural Gas Nuclear (3),Crude Oil Oil Products Natural Gas Nuclear Hydro,"Solar, Wind, Hydro","Solar, Wind, Hydro Electricity Others",Electricity,Total
Production,289971,36469,0,30033,9993,10856,8958,0,386280
Imports,110334,225282,33920,25240,0,0,0,436,395212
Exports,-1014,0,-69568,0,0,0,0,-619,-71201
Stock changes,7997,0,0,0,0,0,0,0,7997
Total primary energy supply,407287,261751,-35647,55273,9993,10856,8958,-183,718288
Statistical differences,11439,17355,-15525,-1246,0,0,0,-1389,10634
Main activity producer electricity plants,-252328,0,-745,-11064,-9993,-10847,-8758,112097,-181639
Autoproducer electricity plants,0,0,0,0,0,-10,-200,15461,15251
Oil refineries,0,-257477,259169,0,0,0,0,0,1692
Energy industry own use,0,0,0,-14320,0,0,0,-7065,-21385
Losses,0,-21630,0,-87,0,0,0,-22306,-44022
Final consumption,166397,0,207252,28556,0,0,0,96615,498820
Industry,166397,0,48907,919,0,0,0,40301,256524
Iron and steel,35269,0,1123,0,0,0,0,0,36392
Chemical and petrochemical,1137,0,12011,0,0,0,0,0,13147
Non-ferrous metals,0,0,273,0,0,0,0,0,273
Machinery,0,0,176,0,0,0,0,0,176
Mining and quarrying,0,0,1368,0,0,0,0,0,1368
"Paper, pulp and print",967,0,0,0,0,0,0,0,967
Construction,4452,0,853,0,0,0,0,0,5305
Textile and leather,685,0,78,0,0,0,0,0,763
Non-specified (industry),123888,0,33025,919,0,0,0,40301,198132
Transport,0,0,43121,8353,0,0,0,1499,52973
Road,0,0,31063,7897,0,0,0,0,38959
Domestic aviation,0,0,8134,0,0,0,0,0,8134
Rail,0,0,2726,0,0,0,0,1499,4226
Pipeline transport,0,0,0,456,0,0,0,0,456
Domestic navigation,0,0,1199,0,0,0,0,0,1199
Non-specified (transport),0,0,0,0,0,0,0,0,0
Other,0,0,115224,907,0,0,0,54815,170946
Residential,0,0,26599,0,0,0,0,23525,50124
Commercial and public services,0,0,96,0,0,0,0,8063,8159
Agriculture/forestry,0,0,705,173,0,0,0,17135,18014
Non-specified (other),0,0,87823,734,0,0,0,6092,94649
Non-energy use,0,0,0,18377,0,0,0,0,18377
Non-energy use industry/transformation/energy,0,0,0,18377,0,0,0,0,18377
Non-energy use in transport,0,0,0,0,0,0,0,0,0
Non-energy use in other,0,0,0,0,0,0,0,0,0
Elect. output in GWh,0,0,0,0,"38,346 126,235",,104168,0,268749
Elec output-main activity producer ele plants,0,0,0,0,38346,126123,101839,0,266308
Elec output-autoproducer electricity plants,0,0,0,0,0,112,2328,0,2441

Note: Final consumption refers to End Use Consumption
Note: # Includes lignite
