Table-V: Energy Balance of India for 2016-17 (Final)
Unit: All figures in KToE | Publication pages: 143

Item,Coal # Crude Oil Oil Products Natural Gas Nuclear,Crude Oil Oil Products Natural Gas Nuclear,Crude Oil Oil Products Natural Gas Nuclear (2),Crude Oil Oil Products Natural Gas Nuclear (3),Crude Oil Oil Products Natural Gas Nuclear Hydro,"Solar, Wind, Hydro","Solar, Wind, Hydro Electricity Others",Electricity,Total
Production,290296,36801,0,29340,9881,10537,7209,0,384064
Imports,101178,218638,34412,22858,0,0,0,483,377568
Exports,-1195,0,-68246,0,0,0,0,-577,-70018
Stock changes,-7159,0,0,0,0,0,0,0,-7159
Total primary energy supply,383119,255439,-33833,52198,9881,10537,7209,-94,684456
Statistical differences,8210,15832,-18052,-36,0,0,0,-1280,4674
Main activity producer electricity plants,-231348,0,-816,-10685,-9881,-10524,-7013,106241,-164027
Autoproducer electricity plants,0,0,0,0,0,-12,-196,14796,14588
Oil refineries,0,-250760,248176,0,0,0,0,0,-2584
Energy industry own use,0,0,0,-13777,0,0,0,-6970,-20747
Losses,0,-20511,0,-66,0,0,0,-21431,-42008
Final consumption,159981,0,195475,27634,0,0,0,91262,474352
Industry,159981,0,45881,730,0,0,0,37858,244449
Iron and steel,30282,0,1146,0,0,0,0,0,31428
Chemical and petrochemical,1288,0,12308,0,0,0,0,0,13596
Non-ferrous metals,0,0,271,0,0,0,0,0,271
Machinery,0,0,183,0,0,0,0,0,183
Mining and quarrying,0,0,1335,0,0,0,0,0,1335
"Paper, pulp and print",741,0,0,0,0,0,0,0,741
Construction,3557,0,741,0,0,0,0,0,4298
Textile and leather,422,0,107,0,0,0,0,0,530
Non-specified (industry),123691,0,29789,730,0,0,0,37858,192067
Transport,0,0,39347,7194,0,0,0,1349,47890
Road,0,0,28455,6761,0,0,0,0,35216
Domestic aviation,0,0,7456,0,0,0,0,0,7456
Rail,0,0,2742,0,0,0,0,1349,4091
Pipeline transport,0,0,0,433,0,0,0,0,433
Domestic navigation,0,0,694,0,0,0,0,0,694
Non-specified (transport),0,0,0,0,0,0,0,0,0
Other,0,0,110247,867,0,0,0,52055,163170
Residential,0,0,26486,0,0,0,0,22001,48487
Commercial and public services,0,0,77,0,0,0,0,7725,7801
Agriculture/forestry,0,0,687,169,0,0,0,16439,17294
Non-specified (other),0,0,82998,699,0,0,0,5890,89587
Non-energy use,0,0,0,18842,0,0,0,0,18842
Non-energy use industry/transformation/energy,0,0,0,18842,0,0,0,0,18842
Non-energy use in transport,0,0,0,0,0,0,0,0,0
Non-energy use in other,0,0,0,0,0,0,0,0,0
Elect. output in GWh,0,0,0,0,"37,916 122,521",,83825,0,244262
Elec output-main activity producer ele plants,0,0,0,0,37916,122378,81548,0,241842
Elec output-autoproducer electricity plants,0,0,0,0,0,144,2277,0,2421

Note: Final consumption refers to End Use Consumption
Note: # Includes lignite
