table_id,title,folder,file,data_rows,columns,publication_pages,unit,notes
1.1,Table 1.1: Statewise Estimated Reserves of Coal (As on 1st April),01_Chapter_1_Reserves_and_potential,Table_1.1_Statewise_Estimated_Reserves_of_Coal_As_on_1st_April.csv,17,11,10,(in Million Tonnes),Total may not tally due to rounding off | Source: Ministry of Coal
1.2,Table 1.2: Statewise Estimated Reserves of Lignite(As on 1st April),01_Chapter_1_Reserves_and_potential,Table_1.2_Statewise_Estimated_Reserves_of_Lignite_As_on_1st_April.csv,11,11,10,(in Million Tonnes),Total may not tally due to rounding off | Source: Ministry of Coal
1.3,Table 1.3: Statewise Estimated Reserves of Crude Oil and Natural Gas (As on 1st April),01_Chapter_1_Reserves_and_potential,Table_1.3_Statewise_Estimated_Reserves_of_Crude_Oil_and_Natural_Gas_As_on_1st_Apri.csv,15,9,11,,"CBM : Cold Bed Methane (Jharkhand, West Bengal and M.P.) | 1. Western offshore includes Gujarat offshore | 2. Total may not tally due to rounding off | Source: M/o Petroleum & Natural Gas"
1.4,Table 1.4: Sourcewise and Statewise Estimated Potential of Renewable Power in India (as on 31.03.2024),01_Chapter_1_Reserves_and_potential,Table_1.4_Sourcewise_and_Statewise_Estimated_Potential_of_Renewable_Power_in_India.csv,42,10,12,(in MW),"$ Others includes installations through NGOs/IREDA in different states | *capacity upto 25 MW, # capacity > 25 MW | Source: Ministry of New and Renewable Energy"
2.1,Table 2.1: Installed Capacity of Coal Washeries (as on 31.03.2024),02_Chapter_2_Installed_capacity,Table_2.1_Installed_Capacity_of_Coal_Washeries_as_on_31_03_2024.csv,103,3,"19, 20",,NON-COKING COAL | Contd.... | Source: Ministry of Coal | Washery | Pimpalgaon Washery
2.2,Table 2.2: Installed Capacity and Utilization of Refineries of Crude Oil,02_Chapter_2_Installed_capacity,Table_2.2_Installed_Capacity_and_Utilization_of_Refineries_of_Crude_Oil.csv,29,10,21,,"CPCL, Narimanam, Tamil Nadu - - - - - - - - | 1.Total may not tally due to rounding off (P): Provisional | 2. Crude throughput in terms of crude oil processed. | 3. Capacity utilisation is equal to crude oil processsed in during year divided by refineing capacity at the 1st April of initial of year*100 | Source: M/o Petroleum & Natural Gas"
2.3(A),Table 2.3 (A) : Yearwise Installed Capacity of Electicity Generation in Utilities and Non-Utilities,02_Chapter_2_Installed_capacity,Table_2.3_A__A_Yearwise_Installed_Capacity_of_Electicity_Generation_in_Utilities_and_.csv,17,9,22,(in Mega Watt = 103 Kilo Watt ),"to 2023-24(%) | * RES= Comprising of Solar, Wind, Bio-Power and Small Hydro Power (P): Provisional | Capacity in respect of Self Generating Industries includes units of capacity 1 MW and above. | Source : Central Electricity Authority."
2.3(B),Table 2.3 (B) : Yearwise Installed Capacity of Electicity Generation in Utilities and Non-Utilities,02_Chapter_2_Installed_capacity,Table_2.3_B__B_Yearwise_Installed_Capacity_of_Electicity_Generation_in_Utilities_and_.csv,16,9,23,(in Mega Watt = 103 x Kilo Watt ),"to 2023-24(%) | * RES=Comprising of Solar, Wind, Bio-Power and Small Hydro Power (P): Provisional | Capacity in respect of Self Generating Industries includes units of capacity 1 MW and above. | Source : Central Electricity Authority."
2.4,Table 2.4 : Regionwise and Statewise Installed Capacity of Electricity Generation (Utilities),02_Chapter_2_Installed_capacity,Table_2.4_Regionwise_and_Statewise_Installed_Capacity_of_Electricity_Generation_Ut.csv,49,12,24,(in GW),"$ Damodar Valley Corporation (DVC) installed capacity is considered under central sector(ER) | * RES: Comprising of Solar, Wind, Bio-Power and Small Hydro Power | # Includes NLC-Central capacity also | Sub-totals/Totals may not tally due to conversion to GW and rounding off. | Source : Central Electricity Authority."
2.5,Table 2.5: State-wise cumulative Installed Capacity of Renewable Power,02_Chapter_2_Installed_capacity,Table_2.5_State_wise_cumulative_Installed_Capacity_of_Renewable_Power.csv,41,15,25,,Source: Ministry of New and Renewable Energy
