State/UT/All-India,No. of FSUs (villages/blocks) | Rural,No. of FSUs (villages/blocks) | Urban,No. of sample households | Rural,No. of sample households | Urban,No. of sample households | Rural + Urban
Andhra Pradesh,357,235,"6,245","4,025","10,270"
Arunachal Pradesh,158,80,"2,581","1,440","4,021"
Assam,338,140,"6,045","2,517","8,562"
Bihar,759,199,"13,602","3,564","17,166"
Chhattisgarh,160,120,"2,867","2,141","5,008"
Delhi,20,200,305,"2,931","3,236"
Goa,20,18,360,323,683
Gujarat,320,317,"5,726","5,560","11,286"
Haryana,156,139,"2,796","2,472","5,268"
Himachal Pradesh,80,60,"1,406","1,036","2,442"
Jharkhand,219,140,"3,927","2,458","6,385"
Karnataka,378,339,"6,688","5,701","12,389"
Kerala,217,199,"3,870","3,507","7,377"
Madhya Pradesh,479,320,"8,551","5,644","14,195"
Maharashtra,655,653,"11,596","11,163","22,759"
Manipur,143,126,"2,572","2,261","4,833"
Meghalaya,120,60,"2,132","1,079","3,211"
Mizoram,80,120,"1,439","2,157","3,596"
Nagaland,111,60,"1,996","1,079","3,075"
Odisha,379,140,"6,732","2,453","9,185"
Punjab,177,160,"3,076","2,754","5,830"
Rajasthan,497,260,"8,724","4,438","13,162"
Sikkim,80,40,"1,411",720,"2,131"
Tamil Nadu,416,393,"7,447","6,917","14,364"
Telangana,198,180,"3,553","3,233","6,786"
Tripura,179,100,"3,222","1,800","5,022"
Uttar Pradesh,1 0 9 6,598,"19,611","10,627","30,238"
Uttarakhand,98,60,"1,700","1,073","2,773"
West Bengal,599,419,"10,715","7,421","18,136"
Andaman & Nicobar Islands,37,20,644,356,"1,000"
Chandigarh,20,20,360,360,720
Dadra & Nagar Haveli and Daman & Diu,20,20,350,324,674
Jammu & Kashmir,99,100,"1,761","1,772","3,533"
Ladakh,20,20,359,360,719
Lakshadweep,14,20,252,355,607
Puducherry,20,40,359,711,"1,070"
All – India*,"8,723","6,115","1,55,014","1,06,732","2,61,746"
