Item (value) imputed,Item(s) considered for imputation
rice-free (061),rice-other sources (102)
wheat/atta-free (062),wheat/atta-other sources (108)
coarse grains-free (070),coarse grains - other sources (002)
jowar-free (063),jowar-other sources (115)
bajra-free (064),bajra-other sources (116)
maize-free (065),maize-other sources (117)
barley-free (066),barley-other sources (118)
ragi-free (067),ragi-other sources (121)
small millets-free (068),small millets-other sources (120)
pulse-free (071),"items 140, 141, 143, 144, 145 & 148"
gram-free (072),gram whole-other sources (142)
salt-free (073),salt-other sources (170)
sugar-free (074),sugar-other sources (172)
edible oil-free (075),"items 181, 184, 182 & 183"
