Major state,"clothing, bedding, footwear",conveyance,durable goods,education,fuel & light,medical,"misc. goods, entertainment",others,total
Andhra Pradesh,9.1,15.1,12.8,5.3,10.3,16.6,13.2,17.6,100.0
Assam,12.9,12.9,10.2,3.9,15.3,8.3,13.2,23.4,100.0
Bihar,12.4,10.0,13.0,6.4,14.0,13.7,13.2,17.2,100.0
Chhattisgarh,11.9,15.0,10.5,2.8,16.1,9.7,12.9,21.1,100.0
Gujarat,12.2,16.6,13.1,3.8,13.9,11.8,11.3,17.3,100.0
Haryana,11.1,14.0,13.7,10.5,12.7,12.4,10.1,15.4,100.0
Jharkhand,12.4,12.9,13.4,5.9,13.8,12.6,11.2,17.8,100.0
Karnataka,9.3,15.6,14.6,5.1,10.6,12.4,12.5,19.8,100.0
Kerala,7.6,18.9,18.2,4.6,9.9,17.9,8.4,14.4,100.0
Madhya Pradesh,12.8,15.3,12.2,5.2,10.0,11.7,12.2,20.6,100.0
Maharashtra,10.6,16.0,11.8,6.0,12.0,14.7,10.2,18.9,100.0
Odisha,13.2,12.5,10.4,4.6,17.0,13.2,12.6,16.6,100.0
Punjab,13.3,16.3,8.6,8.0,14.6,14.7,10.4,14.0,100.0
Rajasthan,11.6,15.7,14.7,7.8,12.1,10.1,9.3,18.7,100.0
Tamil Nadu,9.3,18.0,14.9,6.1,9.2,11.6,12.1,18.9,100.0
Telangana,10.3,15.0,14.7,5.9,8.2,10.3,11.2,24.3,100.0
Uttar Pradesh,11.7,12.5,12.2,6.8,13.2,15.5,11.6,16.7,100.0
West Bengal,12.8,8.4,10.9,6.1,16.3,16.8,12.9,15.8,100.0
All-India,11.4,14.1,12.9,6.2,12.4,13.3,11.6,18.2,100.0
