Item group,% share in total MPCE | 1999-’00,% share in total MPCE | 2004-05,% share in total MPCE | 2009-10,% share in total MPCE | 2011-12,% share in total MPCE | 2022-23
cereal,22.16,17.38,13.71,10.69,4.89
cereal substitutes,0.07,0.07,0.06,0.06,0.02
gram,0.13,0.13,0.13,0.14,0.24
pulses and pulse products*,3.81,2.97,3.19,2.76,1.77
sugar & salt,2.60,2.48,2.34,1.83,0.93
milk and milk products,8.75,8.17,7.64,8.04,8.33
vegetables,6.17,5.88,8.29,6.62,5.38
fruits (fresh),1.42,1.46,1.93,2.25,2.54
fruits (dry),0.30,0.34,0.49,0.58,1.17
"egg, fish & meat",3.32,3.21,4.74,4.79,4.91
edible oil,3.74,4.44,3.69,3.74,3.59
spices,2.74,2.21,3.36,3.50,2.98
"beverages, processed food#, etc.",4.19,4.38,7.40,7.90,9.62
food: total,59.4,53.11,56.98,52.9,46.38
"pan, tobacco & intoxicants",2.87,2.60,2.95,3.21,3.79
fuel and light,7.52,9.81,8.03,7.98,6.66
toilet articles & other household con-sumables,4.73,4.83,4.02,4.01,5.12
education,1.93,3.12,3.59,3.49,3.30
medical (hospitalization),1.37,1.62,1.65,2.15,2.36
medical (non-hospitalization),4.72,4.65,3.75,4.5,4.77
conveyance,2.94,3.63,3.45,4.20,7.55
consumer services excl. conveyance&,2.98,3.66,4.21,3.99,5.08
entertainment,0.42,0.60,0.79,0.99,1.09
rent,0.39,0.48,0.46,0.45,0.78
other taxes & cesses,0.16,0.19,0.21,0.25,0.13
clothing & bedding$,6.85,6.74,5.30,5.99,5.24
footwear,1.10,1.01,0.92,1.02,0.86
durable goods,2.62,3.95,3.69,4.85,6.89
non-food: total,40.6,46.89,43.02,47.1,53.62
total expenditure,100.0,100.0,100.0,100.0,100.0
