Item group,% share in total MPCE | 1999-’00,% share in total MPCE | 2004-05,% share in total MPCE | 2009-10,% share in total MPCE | 2011-12,% share in total MPCE | 2022-23
cereal,12.35,9.58,8.12,6.61,3.62
cereal substitutes,0.04,0.05,0.04,0.05,0.02
gram,0.11,0.10,0.10,0.11,0.18
pulses and pulse products*,2.84,2.04,2.37,1.93,1.21
sugar & salt,1.80,1.57,1.49,1.15,0.60
milk and milk products,8.68,7.54,6.90,7.01,7.22
vegetables,5.13,4.24,5.67,4.63,3.80
fruits (fresh),1.95,1.68,2.54,2.64,2.50
fruits (dry),0.47,0.46,0.63,0.78,1.31
"egg, fish & meat",3.13,2.58,3.63,3.65,3.57
edible oil,3.14,3.29,2.66,2.66,2.37
spices,2.07,1.47,2.21,2.42,2.13
"beverages, processed food#, etc.",6.35,5.91,8.03,8.98,10.64
food: total,48.06,40.51,44.39,42.62,39.17
"pan, tobacco & intoxicants",1.90,1.54,1.53,1.61,2.43
fuel and light,7.75,9.47,6.94,6.69,6.26
toilet articles & other household con-sumables,5.50,4.65,3.88,3.88,4.98
education,4.33,6.67,8.09,6.90,5.78
medical (hospitalization),1.44,1.44,1.83,1.96,1.91
medical (non-hospitalization),3.62,3.76,3.16,3.58,4.00
conveyance,5.52,6.21,5.63,6.52,8.59
consumer services excl. conveyance&,4.73,6.71,6.25,5.60,5.92
entertainment,1.16,1.79,1.60,1.61,1.58
rent,4.46,5.38,5.79,6.24,6.56
other taxes & cesses,0.69,0.77,0.79,0.82,0.24
clothing & bedding$,6.05,5.60,4.85,5.37,4.64
footwear,1.18,1.03,0.96,1.00,0.77
durable goods,3.61,4.46,4.31,5.60,7.17
non-food: total,51.94,59.49,55.61,57.38,60.83
total expenditure,100.0,100.0,100.0,100.0,100.0
