Major state,self-employed in agriculture,self-employed in non-agriculture,regular wage/salaried in agriculture,regular wage/salaried in non-agriculture,casual labour in agriculture,casual labour in non-agriculture,others,all
Andhra Pradesh,"4,906","5,000","5,906","5,335","4,489","4,524","5,292","4,870"
Assam,"3,349","3,622","2,726","4,101","2,895","3,282","4,320","3,432"
Bihar,"3,423","3,629","3,285","3,666","3,089","3,213","3,577","3,384"
Chhattisgarh,"2,355","2,642","3,203","3,087","2,158","2,092","3,511","2,466"
Gujarat,"3,834","4,082","3,698","4,355","3,236","3,409","5,221","3,798"
Haryana,"5,395","4,906","5,929","5,326","3,986","4,088","5,325","4,859"
Jharkhand,"2,500","3,237","2,804","3,376","2,387","2,612","2,930","2,763"
Karnataka,"4,332","4,823","3,888","5,154","3,954","4,341","4,895","4,397"
Kerala,"6,908","6,122","5,078","6,525","4,708","4,840","6,514","5,924"
Madhya Pradesh,"3,194","3,495","3,395","4,052","2,770","2,736","3,574","3,113"
Maharashtra,"3,784","4,625","4,113","5,813","2,978","3,445","5,304","4,010"
Odisha,"2,744","3,422","3,717","3,796","2,564","2,725","3,208","2,950"
Punjab,"6,370","5,069","4,352","5,293","4,407","4,479","7,307","5,315"
Rajasthan,"4,095","4,478","3,862","4,807","3,362","3,479","8,974","4,263"
Tamil Nadu,"5,342","5,783","5,157","5,917","4,594","4,857","6,041","5,310"
Telangana,"4,678","5,164","5,355","5,646","4,387","4,914","5,035","4,802"
Uttar Pradesh,"3,318","3,354","3,323","3,638","2,917","2,783","3,173","3,191"
West Bengal,"3,234","3,641","2,904","3,919","2,774","2,905","3,781","3,239"
All-India,"3,702","4,074","3,597","4,533","3,273","3,315","4,684","3,773"
