Major state,self-employment,regular wage/salary earning,casual labour,others,all
Andhra Pradesh,"6,540","7,222","5,189","8,424","6,782"
Assam,"5,684","6,768","4,196","8,461","6,136"
Bihar,"4,816","5,107","3,492","6,853","4,768"
Chhattisgarh,"4,399","4,937","2,821","5,799","4,483"
Gujarat,"6,902","6,742","4,453","8,901","6,621"
Haryana,"7,487","8,831","4,864","9,964","7,911"
Jharkhand,"4,838","5,358","3,236","5,569","4,931"
Karnataka,"6,612","8,745","4,860","11,521","7,666"
Kerala,"7,143","8,113","4,831","8,210","7,078"
Madhya Pradesh,"4,556","5,784","3,459","8,214","4,987"
Maharashtra,"6,406","7,174","3,955","8,899","6,657"
Odisha,"4,716","6,444","3,096","5,985","5,187"
Punjab,"6,577","6,521","4,866","9,757","6,544"
Rajasthan,"5,749","6,436","4,056","8,391","5,913"
Tamil Nadu,"7,515","8,113","5,857","9,004","7,630"
Telangana,"7,268","8,605","6,178","11,168","8,158"
Uttar Pradesh,"4,638","5,909","3,657","6,521","5,040"
West Bengal,"5,227","5,700","3,477","7,436","5,267"
All-India,"6,067","7,146","4,379","8,619","6,459"
