Major state,RSE (%) of Average MPCE | Rural,RSE (%) of Average MPCE | Urban,95% Confidence Intervals | Rural | Lower limit,95% Confidence Intervals | Rural | Upper limit,95% Confidence Intervals | Urban | Lower limit,95% Confidence Intervals | Urban | Upper limit
Andhra Pradesh,1.38,2.55,"4,738","5,002","6,443","7,121"
Assam,1.32,2.58,"3,343","3,521","5,825","6,447"
Bihar,0.92,2.65,"3,323","3,445","4,520","5,016"
Chhattisgarh,2.62,3.44,"2,339","2,593","4,181","4,785"
Gujarat,1.35,2.30,"3,697","3,899","6,323","6,919"
Haryana,2.06,4.19,"4,662","5,056","7,261","8,561"
Jharkhand,1.89,2.74,"2,660","2,866","4,667","5,195"
Karnataka,1.37,2.18,"4,279","4,515","7,338","7,994"
Kerala,1.82,2.48,"5,712","6,136","6,734","7,422"
Madhya Pradesh,1.20,2.47,"3,040","3,186","4,746","5,228"
Maharashtra,2.38,1.85,"3,823","4,197","6,416","6,898"
Odisha,1.35,3.50,"2,872","3,028","4,832","5,542"
Punjab,1.50,2.34,"5,159","5,471","6,244","6,844"
Rajasthan,4.29,2.37,"3,904","4,622","5,638","6,188"
Tamil Nadu,1.54,2.34,"5,150","5,470","7,279","7,981"
Telangana,1.60,3.23,"4,651","4,953","7,641","8,675"
Uttar Pradesh,0.72,1.52,"3,146","3,236","4,890","5,190"
West Bengal,1.16,1.99,"3,165","3,313","5,062","5,472"
All-India,0.55,0.64,"3,733","3,813","6,377","6,541"
