Major State,Deciles of the distribution of persons by MPCE | P 10,Deciles of the distribution of persons by MPCE | P 20,Deciles of the distribution of persons by MPCE | P 30,Deciles of the distribution of persons by MPCE | P 40,Deciles of the distribution of persons by MPCE | P 50,Deciles of the distribution of persons by MPCE | P 60,Deciles of the distribution of persons by MPCE | P 70,Deciles of the distribution of persons by MPCE | P 80,Deciles of the distribution of persons by MPCE | P 90
Andhra Pradesh,"2,601","3,098","3,522","3,918","4,324","4,825","5,425","6,145","7,478"
Assam,"2,020","2,368","2,647","2,919","3,173","3,474","3,801","4,214","5,011"
Bihar,"1,909","2,294","2,583","2,848","3,119","3,404","3,764","4,243","5,059"
Chhattisgarh,"1,216","1,480","1,713","1,941","2,163","2,414","2,725","3,199","4,026"
Gujarat,"2,230","2,539","2,795","3,066","3,383","3,713","4,140","4,695","5,830"
Haryana,"2,596","3,152","3,610","4,039","4,447","4,880","5,408","6,186","7,406"
Jharkhand,"1,422","1,704","1,939","2,162","2,408","2,716","3,119","3,647","4,441"
Karnataka,"2,519","2,927","3,228","3,563","3,958","4,359","4,832","5,541","6,705"
Kerala,"2,916","3,501","3,952","4,413","4,936","5,553","6,296","7,446","9,539"
Madhya Pradesh,"1,722","2,056","2,304","2,558","2,805","3,082","3,438","3,889","4,732"
Maharashtra,"1,938","2,307","2,644","2,973","3,337","3,786","4,340","5,068","6,514"
Odisha,"1,657","1,943","2,175","2,401","2,634","2,901","3,230","3,679","4,515"
Punjab,"3,060","3,559","3,939","4,357","4,802","5,292","5,875","6,674","7,985"
Rajasthan,"2,073","2,534","2,906","3,270","3,656","4,042","4,534","5,226","6,560"
Tamil Nadu,"2,853","3,423","3,847","4,229","4,670","5,189","5,801","6,746","8,371"
Telangana,"2,809","3,274","3,644","4,041","4,422","4,861","5,395","6,042","7,068"
Uttar Pradesh,"1,789","2,100","2,351","2,590","2,852","3,142","3,496","3,962","4,835"
West Bengal,"1,859","2,158","2,390","2,633","2,888","3,185","3,552","4,058","4,922"
All-India,"1,912","2,289","2,612","2,927","3,268","3,657","4,138","4,819","6,043"
