Major State,Deciles of the distribution of persons by MPCE | P 10,Deciles of the distribution of persons by MPCE | P 20,Deciles of the distribution of persons by MPCE | P 30,Deciles of the distribution of persons by MPCE | P 40,Deciles of the distribution of persons by MPCE | P 50,Deciles of the distribution of persons by MPCE | P 60,Deciles of the distribution of persons by MPCE | P 70,Deciles of the distribution of persons by MPCE | P 80,Deciles of the distribution of persons by MPCE | P 90
Andhra Pradesh,"3,269","4,015","4,579","5,136","5,782","6,498","7,328","8,630","11,425"
Assam,"2,916","3,506","4,090","4,643","5,139","5,845","6,760","7,996","10,480"
Bihar,"2,334","2,814","3,213","3,623","4,043","4,515","5,237","6,211","7,908"
Chhattisgarh,"1,973","2,418","2,850","3,271","3,700","4,183","4,810","5,722","7,957"
Gujarat,"3,248","3,907","4,456","5,029","5,622","6,286","7,162","8,408","10,850"
Haryana,"3,414","4,082","4,779","5,446","6,217","7,269","8,591","10,494","13,956"
Jharkhand,"2,215","2,743","3,191","3,627","4,154","4,752","5,476","6,532","8,315"
Karnataka,"3,377","4,147","4,864","5,573","6,340","7,243","8,511","10,143","12,969"
Kerala,"3,078","3,624","4,218","4,833","5,504","6,237","7,381","8,978","12,273"
Madhya Pradesh,"2,432","2,840","3,259","3,638","4,106","4,684","5,371","6,437","8,295"
Maharashtra,"2,902","3,574","4,207","4,807","5,464","6,250","7,199","8,530","11,251"
Odisha,"2,168","2,608","3,063","3,556","4,182","4,822","5,549","6,991","9,404"
Punjab,"3,367","3,952","4,478","5,052","5,614","6,319","7,101","8,335","10,480"
Rajasthan,"2,820","3,395","3,867","4,322","4,896","5,520","6,390","7,651","9,965"
Tamil Nadu,"3,693","4,489","5,153","5,791","6,517","7,355","8,374","9,770","12,479"
Telangana,"4,091","4,725","5,419","6,095","6,944","7,767","9,030","10,449","13,590"
Uttar Pradesh,"2,434","2,901","3,316","3,704","4,119","4,665","5,356","6,363","8,334"
West Bengal,"2,426","2,917","3,343","3,799","4,345","4,948","5,733","6,871","9,111"
All-India,"2,813","3,467","4,053","4,647","5,286","6,061","7,036","8,425","11,089"
