Item group,Average MPCE (Rs.) | Rural,Average MPCE (Rs.) | Urban,Percentage share in total MPCE (%) | Rural,Percentage share in total MPCE (%) | Urban
cereals & cereal substitutes,185,235,4.91,3.64
pulses & their products*,76,90,2.01,1.39
sugar & salt,35,39,0.93,0.60
milk & milk products,314,466,8.33,7.22
vegetables,203,245,5.38,3.80
fruits,140,246,3.71,3.80
"egg, fish & meat",185,231,4.91,3.57
edible oil,136,153,3.59,2.37
spices,113,138,2.98,2.13
"beverages, refreshments, pro-cessed food#",363,687,9.62,10.64
food total,"1,750","2,530",46.38,39.17
"pan, tobacco & intoxicants",143,157,3.79,2.43
fuel and light,251,404,6.66,6.26
education,125,374,3.30,5.78
medical,269,382,7.13,5.91
conveyance,285,555,7.55,8.59
consumer services excluding conveyance&,192,382,5.08,5.92
"misc. goods, entertainment",234,424,6.21,6.56
rent,30,423,0.78,6.56
taxes and cesses,5,16,0.13,0.24
"clothing, bedding & footwear$",230,350,6.10,5.41
durable goods,260,463,6.89,7.17
non-food total,"2,023","3,929",53.62,60.83
all items,"3,773","6,459",100.00,100.00
