Major states,Rural | % share in total expenditure | cereals,Rural | % share in total expenditure | food,Urban | cereals,Urban | food
Andhra Pradesh,4,44,4,39
Assam,5,54,4,47
Bihar,7,54,6,47
Chhattisgarh,4,46,4,39
Gujarat,5,49,4,42
Haryana,3,46,3,40
Jharkhand,7,48,6,42
Karnataka,4,45,3,36
Kerala,3,39,3,36
Madhya Pradesh,5,45,4,39
Maharashtra,4,41,4,37
Odissa,6,48,5,40
Punjab,3,42,3,40
Rajasthan,4,44,4,40
Tamil Nadu,4,42,3,38
Telangana,5,42,4,35
Uttar Pradesh,5,47,4,41
West Bengal,7,51,5,45
All-India,5,46,4,39
