Item group,Average MPCE (Rs.) | Rural,Average MPCE (Rs.) | Urban,Average MPCE (Rs.) with imputation | Rural,Average MPCE (Rs.) with imputation | Urban,% share in total MPCE | Rural,% share in total MPCE | Urban,% share in total MPCE with imputation | Rural,% share in total MPCE with imputation | Urban
cereals & cereal substitutes,185,235,267,294,4.91,3.64,6.92,4.51
pulses & their products*,76,90,76,90,2.01,1.39,1.97,1.38
sugar & salt,35,39,35,39,0.93,0.60,0.92,0.60
milk & milk products,314,466,314,466,8.33,7.22,8.14,7.15
vegetables,203,245,203,245,5.38,3.80,5.26,3.76
fruits,140,246,140,246,3.71,3.80,3.63,3.77
"egg, fish & meat",185,231,185,231,4.91,3.57,4.80,3.54
edible oil,136,153,136,153,3.59,2.37,3.52,2.35
spices,113,138,113,138,2.98,2.13,2.92,2.11
"beverages, refreshments, processed food#",363,687,363,687,9.62,10.64,9.41,10.53
food total,1750,2530,1832,2589,46.38,39.17,47.47,39.70
"pan, tobacco & intoxicants",143,157,143,157,3.79,2.43,3.70,2.41
fuel and light,251,404,251,404,6.66,6.26,6.51,6.20
education,125,374,125,374,3.30,5.78,3.23,5.73
medical,269,382,269,382,7.13,5.91,6.96,5.85
conveyance,285,555,285,555,7.55,8.59,7.38,8.51
consumer services excl. conveyance&,192,382,192,382,5.08,5.92,4.96,5.86
"misc. goods, entertainment",234,424,234,424,6.21,6.56,6.07,6.50
rent,30,423,30,423,0.78,6.56,0.76,6.49
taxes and cesses,5,16,5,16,0.13,0.24,0.12,0.24
"clothing, bedding & footwear$",230,350,233,351,6.10,5.41,6.03,5.38
durable goods,260,463,262,465,6.89,7.17,6.79,7.13
non-food total,2023,3929,2028,3932,53.62,60.83,52.53,60.30
all items,3773,6459,3860,6521,100.00,100.00,100.00,100.00
