Major state,self-employment,regular wage/salary earning,casual labour,others,all
Andhra Pradesh,"6,655","7,298","5,310","8,478","6,877"
Assam,"5,766","6,831","4,318","8,478","6,210"
Bihar,"4,868","5,145","3,568","6,875","4,819"
Chhattisgarh,"4,475","4,998","2,932","5,874","4,557"
Gujarat,"6,910","6,750","4,473","8,917","6,630"
Haryana,"7,526","8,867","4,910","9,976","7,948"
Jharkhand,"4,853","5,367","3,276","5,583","4,946"
Karnataka,"6,749","8,827","5,057","11,583","7,781"
Kerala,"7,165","8,133","4,866","8,228","7,102"
Madhya Pradesh,"4,580","5,800","3,499","8,228","5,011"
Maharashtra,"6,432","7,196","4,000","8,924","6,683"
Odisha,"4,752","6,475","3,144","6,010","5,223"
Punjab,"6,606","6,556","4,919","9,775","6,577"
Rajasthan,"5,807","6,476","4,162","8,425","5,970"
Tamil Nadu,"7,624","8,213","6,004","9,122","7,742"
Telangana,"7,374","8,690","6,305","11,219","8,251"
Uttar Pradesh,"4,710","5,957","3,738","6,573","5,104"
West Bengal,"5,391","5,833","3,699","7,554","5,426"
All-India,"6,132","7,198","4,474","8,666","6,521"
