Major state,RSE (%) of Average MPCE | Rural,RSE (%) of Average MPCE | Urban,95% Confidence Intervals | Rural | Lower limit,95% Confidence Intervals | Rural | Upper limit,95% Confidence Intervals | Urban | Lower limit,95% Confidence Intervals | Urban | Upper limit
Andhra Pradesh,1.35,2.45,"4,863","5,129","6,546","7,208"
Assam,1.28,2.54,"3,457","3,635","5,901","6,519"
Bihar,0.90,2.61,"3,393","3,515","4,572","5,066"
Chhattisgarh,2.50,3.36,"2,449","2,701","4,257","4,857"
Gujarat,1.34,2.29,"3,719","3,921","6,332","6,928"
Haryana,2.04,4.16,"4,716","5,108","7,301","8,595"
Jharkhand,1.87,2.72,"2,694","2,898","4,682","5,210"
Karnataka,1.33,2.13,"4,459","4,697","7,456","8,106"
Kerala,1.81,2.47,"5,748","6,172","6,758","7,446"
Madhya Pradesh,1.20,2.45,"3,084","3,232","4,770","5,252"
Maharashtra,2.39,1.84,"3,885","4,267","6,442","6,924"
Odisha,1.34,3.46,"2,918","3,074","4,869","5,577"
Punjab,1.48,2.32,"5,207","5,519","6,279","6,875"
Rajasthan,4.18,2.32,"3,991","4,705","5,698","6,242"
Tamil Nadu,1.49,2.30,"5,297","5,617","7,393","8,091"
Telangana,1.54,3.15,"4,809","5,109","7,741","8,761"
Uttar Pradesh,0.69,1.49,"3,233","3,321","4,955","5,253"
West Bengal,1.09,1.89,"3,334","3,480","5,225","5,627"
All-India,0.54,0.63,"3,819","3,901","6,440","6,602"
