State/UT/All-India,Average MPCE (Rs) - Rural,Average MPCE (Rs) - Urban,Average MPCE - With imputation (Rs.) - Rural,Average MPCE - With imputation (Rs.) - Urban
Andhra Pradesh,"4,870","6,782","4,996","6,877"
Arunachal Pradesh,"5,276","8,636","5,300","8,649"
Assam,"3,432","6,136","3,546","6,210"
Bihar,"3,384","4,768","3,454","4,819"
Chhattisgarh,"2,466","4,483","2,575","4,557"
Delhi,"6,576","8,217","6,595","8,250"
Goa,"7,367","8,734","7,388","8,761"
Gujarat,"3,798","6,621","3,820","6,630"
Haryana,"4,859","7,911","4,912","7,948"
Himachal Pradesh,"5,561","8,075","5,573","8,083"
Jharkhand,"2,763","4,931","2,796","4,946"
Karnataka,"4,397","7,666","4,578","7,781"
Kerala,"5,924","7,078","5,960","7,102"
Madhya Pradesh,"3,113","4,987","3,158","5,011"
Maharashtra,"4,010","6,657","4,076","6,683"
Manipur,"4,360","4,880","4,370","4,902"
Meghalaya,"3,514","6,433","3,530","6,450"
Mizoram,"5,224","7,655","5,243","7,664"
Nagaland,"4,393","7,098","4,457","7,159"
Odisha,"2,950","5,187","2,996","5,223"
Punjab,"5,315","6,544","5,363","6,577"
Rajasthan,"4,263","5,913","4,348","5,970"
Sikkim,"7,731","12,105","7,787","12,125"
Tamil Nadu,"5,310","7,630","5,457","7,742"
Telangana,"4,802","8,158","4,959","8,251"
Tripura,"5,206","7,405","5,301","7,473"
Uttar Pradesh,"3,191","5,040","3,277","5,104"
Uttarakhand,"4,641","7,004","4,721","7,034"
West Bengal,"3,239","5,267","3,407","5,426"
Andaman & N. Island,"7,332","10,268","7,332","10,268"
Chandigarh,"7,467","12,575","7,467","12,577"
Dadra & Nagar Haveli and Daman & Diu,"4,184","6,298","4,229","6,306"
Jammu & Kashmir,"4,296","6,179","4,357","6,200"
Ladakh,"4,035","6,215","4,062","6,227"
Lakshadweep,"5,895","5,475","5,979","5,511"
Puducherry,"6,590","7,706","6,627","7,741"
All-India,"3,773","6,459","3,860","6,521"
