sl. no.,item category,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,A & N Island,Chandigarh,Dadra & Nagar Haveli and Daman & Diu,Jammu & Kashmir,Ladakh,Lakshadweep,Puducherry,All-India
1.,cereal,201.13,222.37,178.44,238.24,86.44,208.51,263.94,174.31,152.03,200.46,197.88,191.46,175.34,150.93,172.55,269.93,148.29,125.76,229.46,181.89,150.31,176.63,185.91,213.43,236.16,191.01,150.60,200.91,214.99,256.14,212.50,200.68,203.94,113.16,158.50,245.80,184.42
2.,cereal substitutes,-,0.00,0.00,0.02,0.00,-,-,0.23,0.03,0.01,-,0.04,8.89,1.51,5.86,-,-,-,1.53,0.00,0.02,0.11,2.00,0.38,0.01,-,0.05,0.00,-,-,-,-,0.18,-,-,-,0.76
3.,gram,5.17,5.12,3.11,9.59,8.02,19.02,25.22,15.22,14.23,15.95,10.09,11.55,13.69,10.46,9.69,5.76,1.33,0.54,1.34,5.17,19.69,8.24,10.41,7.74,3.61,1.67,10.56,15.95,5.61,10.75,16.87,15.26,5.30,2.79,25.15,9.95,9.24
4.,pulses and pulse products*,84.87,43.61,55.20,68.43,77.73,88.69,83.57,63.35,48.55,101.08,55.55,84.67,74.48,73.99,77.35,31.68,29.61,35.20,35.32,78.32,68.68,34.80,76.86,79.67,65.92,47.00,66.00,105.96,48.64,122.51,80.52,96.38,68.26,46.13,84.43,103.96,66.74
5.,sugar,22.69,15.37,17.18,24.40,21.67,47.72,34.33,36.68,49.10,42.40,15.11,36.39,33.93,37.67,44.12,12.26,19.16,15.01,14.03,20.81,55.15,48.91,31.01,19.34,18.36,14.23,33.30,47.74,21.72,39.29,40.58,21.30,29.07,14.60,63.55,23.43,31.06
6.,salt,4.89,3.50,3.94,4.86,1.49,5.59,4.25,2.69,4.36,2.77,3.45,3.88,2.92,2.08,4.35,3.79,3.78,6.22,3.98,4.29,4.69,4.10,3.07,3.55,4.79,4.02,3.90,4.89,5.37,5.15,3.95,5.13,6.80,5.36,5.67,3.91,4.05
7.,milk and milk products,305.93,199.30,149.82,309.51,84.84,813.31,419.12,476.35,933.28,629.21,147.29,234.08,224.65,302.94,226.87,140.22,118.77,147.29,162.94,96.60,782.39,660.85,659.79,249.21,266.62,232.39,337.02,427.30,122.51,293.32,997.98,301.68,482.46,516.93,177.00,325.87,314.22
8.,vegetables,226.87,362.28,252.55,214.63,211.74,284.72,298.86,222.91,273.52,271.10,167.52,220.79,199.71,162.67,184.12,235.08,282.72,377.09,293.42,217.75,244.26,162.24,429.18,244.60,210.65,341.35,173.69,221.11,207.78,417.42,241.84,280.65,197.62,213.07,219.42,225.45,202.86
9.,fruits (fresh),145.46,153.33,109.35,92.79,61.88,156.25,309.73,86.63,95.55,131.88,60.46,139.44,216.52,76.54,89.23,117.90,103.31,139.05,116.69,80.18,114.26,77.58,161.87,154.25,124.49,185.54,69.93,104.24,88.72,206.06,201.05,104.13,105.06,126.16,264.74,208.99,95.87
10.,fruits (dry),74.37,57.36,35.84,43.02,17.86,78.55,89.98,31.91,47.47,64.10,21.56,59.70,44.22,30.42,77.39,31.27,16.37,45.64,16.21,13.18,51.18,48.75,94.35,51.75,45.04,58.84,44.63,66.31,24.26,59.65,41.14,18.53,58.58,87.71,116.05,98.74,44.29
11.,"egg, fish & meat",317.41,519.13,371.59,202.59,102.47,103.66,679.59,47.64,47.02,135.13,185.56,222.31,545.44,71.21,147.00,520.05,442.57,611.94,652.53,186.70,66.88,49.15,555.02,325.22,321.05,656.13,99.42,131.77,312.64,636.75,194.24,162.29,219.33,318.85,614.86,319.17,185.16
