sl. no.,item category,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,A & N Island,Chandigarh,Dadra & Nagar Haveli and Daman & Diu,Jammu & Kashmir,Ladakh,Lakshadweep,Puducherry,All-India
1.,cereal,3.53,3.42,4.06,6.12,4.23,2.55,3.34,3.61,2.89,3.32,5.92,3.30,2.52,3.93,3.56,5.61,3.36,1.74,3.58,4.66,2.90,3.81,2.48,3.21,3.83,3.31,3.75,3.61,5.10,3.47,1.66,5.41,4.36,3.10,3.43,3.73,3.62
2.,cereal substitutes,-,0.00,-,0.00,0.00,0.00,-,0.01,0.01,-,-,0.00,0.08,0.05,0.06,-,-,-,0.01,-,-,0.00,0.01,0.00,0.00,-,0.00,0.00,-,-,-,-,0.00,-,-,-,0.02
3.,gram,0.08,0.10,0.10,0.23,0.29,0.20,0.24,0.28,0.21,0.25,0.27,0.16,0.20,0.26,0.18,0.15,0.06,0.01,0.03,0.17,0.28,0.19,0.12,0.12,0.07,0.04,0.26,0.23,0.13,0.09,0.19,0.27,0.12,0.08,0.51,0.20,0.18
4.,pulses and pulse products*,1.34,0.82,1.21,1.56,2.15,0.99,1.03,1.24,0.86,1.36,1.50,1.18,1.10,1.40,1.37,0.65,0.68,0.52,0.61,1.72,1.10,0.70,0.79,1.14,0.99,0.80,1.38,1.61,1.18,1.25,0.83,1.71,1.23,0.80,1.46,1.45,1.21
5.,sugar,0.34,0.24,0.32,0.58,0.63,0.56,0.35,0.66,0.64,0.49,0.42,0.45,0.46,0.76,0.63,0.26,0.36,0.23,0.23,0.46,0.79,0.78,0.33,0.28,0.27,0.27,0.71,0.67,0.47,0.41,0.33,0.40,0.53,0.32,1.17,0.34,0.53
6.,salt,0.08,0.05,0.08,0.12,0.10,0.06,0.05,0.07,0.06,0.04,0.09,0.06,0.04,0.06,0.08,0.08,0.07,0.09,0.06,0.11,0.07,0.08,0.03,0.05,0.06,0.07,0.09,0.07,0.11,0.05,0.04,0.11,0.10,0.11,0.06,0.06,0.07
7.,milk and milk products,5.76,3.93,4.90,8.81,5.24,10.18,5.15,10.12,13.16,8.50,6.70,4.34,3.47,8.95,5.92,3.44,3.23,2.67,3.64,4.32,12.79,13.13,7.44,4.53,4.84,4.85,10.25,8.14,4.27,3.91,9.02,6.55,10.55,13.49,2.73,4.50,7.22
8.,vegetables,3.47,4.68,5.52,5.17,6.21,3.62,3.21,4.17,4.75,3.89,4.70,3.12,2.75,3.82,3.61,4.89,5.47,5.55,5.49,5.10,3.88,3.44,4.54,3.58,2.91,5.35,4.00,3.65,4.80,5.21,2.25,5.95,4.11,4.88,3.97,3.23,3.80
9.,fruits (fresh),2.87,2.70,2.96,2.65,2.53,2.11,4.00,2.30,2.34,2.34,2.42,2.67,3.47,2.27,2.41,2.76,2.67,2.58,2.81,2.56,2.26,2.35,2.09,2.75,2.15,3.41,2.24,1.88,2.56,2.78,2.72,2.05,2.18,3.42,4.86,3.10,2.50
10.,fruits (dry),1.50,1.27,1.51,1.49,1.38,1.69,0.83,1.27,0.95,1.40,1.22,1.27,0.85,1.43,1.71,0.76,0.61,0.89,0.59,0.80,1.03,1.35,1.69,1.06,1.25,1.26,1.59,1.50,0.78,0.74,0.78,0.59,1.41,1.56,2.01,1.35,1.31
