State/UT/All-India,rice,wheat,coarse grains,other cereals,total cereals
Andhra Pradesh,7.507,0.641,0.133,0.010,8.290
Arunachal Pradesh,9.985,0.428,0.002,0.003,10.418
Assam,8.000,0.777,0.000,0.005,8.782
Bihar,5.547,4.894,0.007,0.002,10.450
Chhattisgarh,8.325,2.098,0.001,0.007,10.431
Delhi,1.701,4.400,0.001,0.009,6.110
Goa,6.716,2.411,0.026,0.024,9.178
Gujarat,2.182,4.757,0.304,0.029,7.272
Haryana,1.248,5.951,0.099,0.007,7.304
Himachal Pradesh,3.442,5.055,0.008,0.024,8.529
Jharkhand,5.465,4.122,0.003,0.003,9.592
Karnataka,5.344,1.403,1.009,0.042,7.798
Kerala,5.253,0.744,0.005,0.018,6.019
Madhya Pradesh,1.948,6.412,0.025,0.005,8.390
Maharashtra,3.026,3.988,0.422,0.030,7.466
Manipur,11.069,0.051,0.000,0.004,11.124
Meghalaya,8.071,0.390,-,0.001,8.461
Mizoram,9.200,0.057,-,0.001,9.257
Nagaland,9.282,0.204,0.017,0.025,9.528
Odisha,8.179,1.784,0.020,0.009,9.991
Punjab,0.997,6.286,0.027,0.009,7.320
Rajasthan,0.496,8.875,0.114,0.009,9.495
Sikkim,6.337,1.039,0.023,0.019,7.418
Tamil Nadu,6.473,0.692,0.046,0.013,7.223
Telangana,7.799,0.885,0.068,0.020,8.773
Tripura,10.687,0.518,0.000,0.000,11.206
Uttar Pradesh,2.713,5.370,0.010,0.003,8.096
Uttarakhand,3.499,4.499,0.009,0.002,8.009
West Bengal,6.898,2.419,0.000,0.001,9.318
Andaman & N. Island,6.494,1.575,0.006,0.000,8.075
Chandigarh,0.722,4.935,0.005,0.005,5.668
Dadra & Nagar Haveli and Daman & Diu,4.195,4.504,0.222,0.019,8.939
Jammu & Kashmir,5.522,3.849,0.075,0.001,9.447
Ladakh,6.554,3.831,0.001,0.003,10.389
Lakshadweep,6.246,1.018,-,0.001,7.265
Puducherry,6.038,0.722,0.090,0.015,6.865
All-India,4.281,3.583,0.168,0.015,8.047
