State/UT/All-India,Self-employed,Regular wage/salaried,Casual labour,Others,All
Andhra Pradesh,"6,540","7,222","5,189","8,424","6,782"
Arunachal Pradesh,"7,567","9,086","6,565","13,100","8,636"
Assam,"5,684","6,768","4,196","8,461","6,136"
Bihar,"4,816","5,107","3,492","6,853","4,768"
Chhattisgarh,"4,399","4,937","2,821","5,799","4,483"
Delhi,"8,230","8,382","5,031","10,358","8,217"
Goa,"10,200","8,543","7,108","7,585","8,734"
Gujarat,"6,902","6,742","4,453","8,901","6,621"
Haryana,"7,487","8,831","4,864","9,964","7,911"
Himachal Pradesh,"7,235","8,350","4,523","9,972","8,075"
Jharkhand,"4,838","5,358","3,236","5,569","4,931"
Karnataka,"6,612","8,745","4,860","11,521","7,666"
Kerala,"7,143","8,113","4,831","8,210","7,078"
Madhya Pradesh,"4,556","5,784","3,459","8,214","4,987"
Maharashtra,"6,406","7,174","3,955","8,899","6,657"
Manipur,"4,714","5,418","3,993","4,928","4,880"
Meghalaya,"5,742","7,442","4,709","6,977","6,433"
Mizoram,"7,103","8,186","6,680","8,282","7,655"
Nagaland,"6,719","7,511","5,326","8,002","7,098"
Odisha,"4,716","6,444","3,096","5,985","5,187"
Punjab,"6,577","6,521","4,866","9,757","6,544"
Rajasthan,"5,749","6,436","4,056","8,391","5,913"
Sikkim,"10,500","12,274","10,352","20,645","12,105"
Tamil Nadu,"7,515","8,113","5,857","9,004","7,630"
Telangana,"7,268","8,605","6,178","11,168","8,158"
Tripura,"6,940","8,552","5,723","9,009","7,405"
Uttar Pradesh,"4,638","5,909","3,657","6,521","5,040"
Uttarakhand,"6,442","7,713","4,462","9,269","7,004"
West Bengal,"5,227","5,700","3,477","7,436","5,267"
Andaman & N. Island,"10,303","10,395","9,266","9,685","10,268"
Chandigarh,"10,518","12,474","6,397","19,632","12,575"
Dadra & Nagar Haveli and Daman & Diu,"6,036","6,367","5,502","6,849","6,298"
Jammu & Kashmir,"5,572","7,086","4,160","6,874","6,179"
Ladakh,"5,594","6,868","7,118","5,745","6,215"
Lakshadweep,"5,196","5,723","5,475","5,750","5,475"
Puducherry,"7,449","8,148","6,503","8,943","7,706"
All-India,"6,067","7,146","4,379","8,619","6,459"
