State/UT/All-India,Scheduled Tribe,Scheduled Caste,Other backward class,Others,All
Andhra Pradesh,"3,772","4,565","4,824","5,550","4,870"
Arunachal Pradesh,"5,517","5,444","4,399","4,040","5,276"
Assam,"3,289","3,387","3,404","3,523","3,432"
Bihar,"2,927","3,058","3,479","3,691","3,384"
Chhattisgarh,"2,258","2,347","2,665","3,187","2,466"
Delhi,"5,230","6,029","7,098","6,411","6,576"
Goa,"7,084","5,950","6,737","7,836","7,367"
Gujarat,"3,412","3,592","3,649","4,605","3,798"
Haryana,"4,970","4,299","4,771","5,500","4,859"
Himachal Pradesh,"6,996","4,564","5,427","5,906","5,561"
Jharkhand,"2,218","2,850","2,997","3,473","2,763"
Karnataka,"4,086","4,258","4,377","4,952","4,397"
Kerala,"4,526","5,058","5,390","7,451","5,924"
Madhya Pradesh,"2,651","2,977","3,302","3,713","3,113"
Maharashtra,"2,726","3,742","4,017","4,705","4,010"
Manipur,"4,090","5,333","4,337","4,850","4,360"
Meghalaya,"3,451","4,118","5,960","4,683","3,514"
Mizoram,"5,264","3,392","2,908",-,"5,224"
Nagaland,"4,403","4,255","4,011","3,985","4,393"
Odisha,"2,384","2,899","3,258","3,484","2,950"
Punjab,"5,311","4,583","5,335","6,279","5,315"
Rajasthan,"3,206","3,794","4,527","5,428","4,263"
Sikkim,"7,792","6,758","7,844","7,510","7,731"
Tamil Nadu,"4,713","4,898","5,462","5,773","5,310"
Telangana,"4,420","4,526","4,937","5,269","4,802"
Tripura,"4,745","5,323","5,531","5,620","5,206"
Uttar Pradesh,"2,295","2,900","3,191","3,747","3,191"
Uttarakhand,"4,656","3,802","4,421","5,115","4,641"
West Bengal,"2,658","3,152","3,234","3,427","3,239"
Andaman & N. Island,"6,588","3,580","8,080","7,243","7,332"
Chandigarh,"5,851","6,370","6,068","8,192","7,467"
Dadra & Nagar Haveli and Daman & Diu,"3,238","4,514","5,473","5,834","4,184"
Jammu & Kashmir,"3,326","4,457","3,808","4,597","4,296"
Ladakh,"4,273",-,"2,739","2,163","4,035"
Lakshadweep,"5,749","9,399","11,909","15,676","5,895"
Puducherry,"4,729","5,059","8,040","10,393","6,590"
All-India,"3,016","3,474","3,848","4,392","3,773"
