State/UT/All-India,Scheduled Tribe,Scheduled Caste,Other backward class,Others,All
Andhra Pradesh,"6,335","6,427","6,332","7,637","6,782"
Arunachal Pradesh,"8,947","8,121","8,235","8,012","8,636"
Assam,"5,410","5,173","6,374","6,398","6,136"
Bihar,"3,633","3,665","4,501","6,291","4,768"
Chhattisgarh,"4,068","3,659","3,963","5,847","4,483"
Delhi,"8,067","6,166","7,540","9,458","8,217"
Goa,"7,129","9,716","9,669","8,901","8,734"
Gujarat,"5,322","5,322","5,870","7,688","6,621"
Haryana,"6,241","5,868","7,077","9,429","7,911"
Himachal Pradesh,"8,242","7,244","6,987","8,457","8,075"
Jharkhand,"3,767","3,888","4,738","5,998","4,931"
Karnataka,"5,984","6,370","7,516","9,099","7,666"
Kerala,"9,373","5,800","6,443","8,822","7,078"
Madhya Pradesh,"4,436","4,415","4,662","5,929","4,987"
Maharashtra,"5,337","5,492","5,913","7,475","6,657"
Manipur,"4,633","4,313","4,522","5,485","4,880"
Meghalaya,"6,036","5,709","5,883","8,022","6,433"
Mizoram,"7,649","8,351","8,148","6,782","7,655"
Nagaland,"7,164","7,145","6,207","6,230","7,098"
Odisha,"3,563","4,509","5,045","6,252","5,187"
Punjab,"5,820","5,348","6,294","7,729","6,544"
Rajasthan,"5,811","4,722","5,525","7,174","5,913"
Sikkim,"12,875","8,685","12,237","11,858","12,105"
Tamil Nadu,"6,115","6,423","7,791","7,830","7,630"
Telangana,"6,311","6,823","7,824","9,534","8,158"
Tripura,"8,961","6,766","6,990","7,948","7,405"
Uttar Pradesh,"4,644","4,502","4,652","6,073","5,040"
Uttarakhand,"6,240","5,987","5,834","7,753","7,004"
West Bengal,"5,228","4,606","4,306","5,636","5,267"
Andaman & N. Island,"9,510","12,310","12,193","9,646","10,268"
Chandigarh,"8,751","8,475","13,648","13,261","12,575"
Dadra & Nagar Haveli and Daman & Diu,"5,272","5,631","6,104","6,887","6,298"
Jammu & Kashmir,"4,934","5,348","5,825","6,381","6,179"
Ladakh,"5,987","9,031","9,099","5,696","6,215"
Lakshadweep,"5,407","9,329","9,914","16,764","5,475"
Puducherry,-,"5,867","7,978","6,483","7,706"
All-India,"5,414","5,307","6,177","7,333","6,459"
