State/UT/All-India,Rural Average MPCE (Rs),Rural Gini Coefficient,Urban Average MPCE (Rs),Urban Gini Coefficient
Andhra Pradesh,"4,870",0.243,"6,782",0.283
Arunachal Pradesh,"5,276",0.280,"8,636",0.277
Assam,"3,432",0.207,"6,136",0.285
Bihar,"3,384",0.219,"4,768",0.278
Chhattisgarh,"2,466",0.266,"4,483",0.313
Delhi,"6,576",0.211,"8,217",0.338
Goa,"7,367",0.213,"8,734",0.252
Gujarat,"3,798",0.226,"6,621",0.281
Haryana,"4,859",0.234,"7,911",0.332
Himachal Pradesh,"5,561",0.288,"8,075",0.311
Jharkhand,"2,763",0.255,"4,931",0.296
Karnataka,"4,397",0.225,"7,666",0.307
Kerala,"5,924",0.286,"7,078",0.337
Madhya Pradesh,"3,113",0.230,"4,987",0.291
Maharashtra,"4,010",0.291,"6,657",0.314
Manipur,"4,360",0.218,"4,880",0.221
Meghalaya,"3,514",0.223,"6,433",0.266
Mizoram,"5,224",0.242,"7,655",0.217
Nagaland,"4,393",0.244,"7,098",0.232
Odisha,"2,950",0.231,"5,187",0.331
Punjab,"5,315",0.221,"6,544",0.267
Rajasthan,"4,263",0.283,"5,913",0.293
Sikkim,"7,731",0.214,"12,105",0.273
Tamil Nadu,"5,310",0.245,"7,630",0.280
Telangana,"4,802",0.208,"8,158",0.279
Tripura,"5,206",0.203,"7,405",0.230
Uttar Pradesh,"3,191",0.231,"5,040",0.294
Uttarakhand,"4,641",0.242,"7,004",0.300
West Bengal,"3,239",0.228,"5,267",0.305
Andaman & N. Island,"7,332",0.263,"10,268",0.252
Chandigarh,"7,467",0.213,"12,575",0.280
Dadra & Nagar Haveli and Daman & Diu,"4,184",0.288,"6,298",0.209
Jammu & Kashmir,"4,296",0.256,"6,179",0.242
Ladakh,"4,035",0.282,"6,215",0.279
Lakshadweep,"5,895",0.252,"5,475",0.217
Puducherry,"6,590",0.265,"7,706",0.243
All-India,"3,773",0.266,"6,459",0.314
