sl. no.,item category,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,A & N Island,Chandigarh,Dadra & Nagar Haveli and Daman & Diu,Jammu & Kashmir,Ladakh,Lakshadweep,Puducherry,All-India
1.,cereal,6.25,4.65,7.97,8.91,7.27,3.45,3.86,5.09,3.98,3.74,8.07,8.01,3.44,6.14,5.68,6.37,4.48,2.77,6.57,7.26,3.67,5.97,3.08,6.33,7.80,5.39,7.15,5.35,11.04,3.50,2.85,5.75,6.06,3.36,3.60,4.23,6.90
2.,cereal substitutes,-,0.00,0.00,0.00,0.00,-,-,0.01,0.00,0.00,-,0.00,0.15,0.05,0.14,-,-,-,0.03,0.00,0.00,0.00,0.03,0.01,0.00,-,0.00,0.00,-,-,-,-,0.00,-,-,-,0.02
3.,gram,0.10,0.10,0.09,0.28,0.31,0.29,0.34,0.40,0.29,0.29,0.36,0.25,0.23,0.33,0.24,0.13,0.04,0.01,0.03,0.17,0.37,0.19,0.13,0.14,0.07,0.03,0.32,0.34,0.16,0.15,0.23,0.36,0.12,0.07,0.42,0.15,0.24
4.,pulses and pulse products*,1.70,0.82,1.56,1.98,3.03,1.35,1.13,1.66,0.99,1.81,1.99,1.85,1.26,2.34,1.90,0.73,0.84,0.67,0.79,2.61,1.28,0.80,0.99,1.46,1.33,0.89,2.02,2.24,1.43,1.67,1.08,2.28,1.57,1.14,1.41,1.57,1.73
5.,sugar,0.45,0.29,0.48,0.71,1.01,0.73,0.46,0.96,1.00,0.76,0.54,0.80,0.58,1.22,1.09,0.28,0.54,0.29,0.32,0.69,1.03,1.12,0.40,0.36,0.37,0.27,1.03,1.01,0.64,0.54,0.54,0.50,0.67,0.36,1.07,0.35,0.81
6.,salt,0.10,0.07,0.11,0.14,0.06,0.08,0.06,0.07,0.09,0.05,0.12,0.08,0.05,0.07,0.11,0.09,0.11,0.12,0.09,0.14,0.09,0.09,0.04,0.07,0.10,0.08,0.12,0.10,0.16,0.07,0.05,0.12,0.16,0.13,0.09,0.06,0.10
7.,milk and milk products,6.12,3.76,4.23,8.96,3.29,12.33,5.67,12.47,19.00,11.29,5.27,5.11,3.77,9.59,5.57,3.21,3.36,2.81,3.66,3.22,14.59,15.20,8.47,4.57,5.38,4.38,10.28,9.05,3.60,4.00,13.36,7.13,11.07,12.72,2.96,4.92,8.14
8.,vegetables,4.54,6.84,7.12,6.21,8.22,4.32,4.05,5.83,5.57,4.86,5.99,4.82,3.35,5.15,4.52,5.38,8.01,7.19,6.58,7.27,4.55,3.73,5.51,4.48,4.25,6.44,5.30,4.68,6.10,5.69,3.24,6.64,4.54,5.25,3.67,3.40,5.26
9.,fruits (fresh),2.91,2.89,3.08,2.69,2.40,2.37,4.19,2.27,1.95,2.37,2.16,3.05,3.63,2.42,2.19,2.70,2.93,2.65,2.62,2.68,2.13,1.78,2.08,2.83,2.51,3.50,2.13,2.21,2.60,2.81,2.69,2.46,2.41,3.11,4.43,3.15,2.48
10.,fruits (dry),1.49,1.08,1.01,1.25,0.69,1.19,1.22,0.84,0.97,1.15,0.77,1.30,0.74,0.96,1.90,0.72,0.46,0.87,0.36,0.44,0.95,1.12,1.21,0.95,0.91,1.11,1.36,1.40,0.71,0.81,0.55,0.44,1.34,2.16,1.94,1.49,1.15
