sl. no.,item category,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,A & N Island,Chandigarh,Dadra & Nagar Haveli and Daman & Diu,Jammu & Kashmir,Ladakh,Lakshadweep,Puducherry,All-India
1.,cereal,4.75,3.57,5.10,7.10,5.66,2.90,3.64,3.73,3.33,3.34,6.19,4.70,2.79,4.36,3.84,6.03,3.37,1.85,4.39,5.18,3.39,4.72,2.64,4.47,4.89,4.19,4.92,3.87,7.80,3.47,1.67,5.52,4.67,3.28,3.73,4.06,4.49
2.,cereal substitutes,-,0.00,-,0.00,0.00,0.00,-,0.01,0.01,-,-,0.00,0.08,0.05,0.06,-,-,-,0.01,-,-,0.00,0.01,0.00,0.00,-,0.00,0.00,-,-,-,-,0.00,-,-,-,0.02
3.,gram,0.08,0.10,0.09,0.23,0.29,0.20,0.24,0.28,0.21,0.25,0.27,0.16,0.20,0.26,0.18,0.15,0.06,0.01,0.03,0.17,0.28,0.19,0.12,0.12,0.07,0.04,0.25,0.23,0.13,0.09,0.19,0.27,0.12,0.08,0.51,0.20,0.18
4.,pulses and pulse products*,1.32,0.81,1.19,1.54,2.11,0.99,1.03,1.24,0.85,1.36,1.50,1.17,1.10,1.40,1.36,0.65,0.68,0.52,0.61,1.71,1.09,0.69,0.79,1.12,0.98,0.79,1.37,1.60,1.14,1.25,0.83,1.71,1.22,0.80,1.45,1.45,1.20
5.,sugar,0.34,0.24,0.32,0.58,0.68,0.55,0.35,0.66,0.64,0.49,0.42,0.45,0.46,0.77,0.63,0.26,0.36,0.23,0.22,0.46,0.79,0.77,0.33,0.29,0.27,0.26,0.71,0.67,0.45,0.41,0.33,0.40,0.53,0.31,1.16,0.34,0.53
6.,salt,0.07,0.05,0.08,0.12,0.10,0.06,0.05,0.07,0.06,0.04,0.09,0.06,0.04,0.06,0.07,0.08,0.07,0.09,0.06,0.11,0.07,0.08,0.03,0.05,0.06,0.07,0.09,0.07,0.11,0.05,0.04,0.11,0.10,0.11,0.06,0.06,0.07
7.,milk and milk products,5.68,3.92,4.84,8.72,5.15,10.14,5.14,10.10,13.10,8.49,6.68,4.28,3.46,8.91,5.90,3.43,3.22,2.66,3.61,4.29,12.72,13.01,7.43,4.46,4.78,4.81,10.12,8.11,4.15,3.91,9.02,6.54,10.51,13.47,2.71,4.48,7.15
8.,vegetables,3.42,4.67,5.45,5.12,6.11,3.61,3.20,4.16,4.72,3.89,4.68,3.07,2.74,3.81,3.59,4.87,5.46,5.55,5.45,5.07,3.86,3.40,4.53,3.52,2.87,5.31,3.95,3.64,4.66,5.21,2.25,5.95,4.09,4.87,3.94,3.22,3.76
9.,fruits (fresh),2.83,2.70,2.92,2.62,2.49,2.10,3.99,2.29,2.33,2.33,2.41,2.63,3.45,2.26,2.40,2.75,2.66,2.58,2.78,2.55,2.25,2.33,2.09,2.71,2.12,3.38,2.21,1.88,2.48,2.78,2.72,2.05,2.17,3.42,4.82,3.09,2.48
10.,fruits (dry),1.48,1.27,1.49,1.47,1.35,1.68,0.82,1.27,0.95,1.40,1.21,1.26,0.85,1.42,1.70,0.76,0.61,0.89,0.58,0.79,1.02,1.34,1.69,1.04,1.23,1.25,1.57,1.49,0.76,0.74,0.78,0.59,1.40,1.56,1.99,1.34,1.29
11.,"egg, fish & meat",4.52,8.16,7.86,4.75,2.36,1.62,7.48,1.17,1.07,1.51,4.01,3.76,7.09,1.67,2.97,8.78,9.81,9.40,12.13,4.50,1.15,0.92,5.02,4.63,4.17,9.79,2.23,2.04,8.15,5.36,1.56,3.89,3.47,6.76,14.40,5.72,3.54
12.,edible oil,2.16,1.78,2.96,3.74,3.34,1.86,1.44,3.56,1.48,1.80,3.22,1.90,1.49,2.78,2.54,2.40,2.11,2.14,1.46,2.77,2.08,2.00,2.01,1.62,1.74,2.25,2.86,1.92,3.23,1.84,1.37,3.83,2.53,1.89,3.07,2.57,2.35
13.,spices,2.00,1.54,2.13,2.38,2.45,1.91,2.03,2.55,2.02,1.54,2.37,2.17,2.22,2.26,2.07,2.23,1.29,1.32,1.53,2.12,1.44,2.37,1.95,2.20,1.60,2.25,2.10,1.95,2.23,2.09,1.24,2.48,1.90,2.42,3.00,2.21,2.11
14.,"beverages, processed food#, etc.",10.67,15.31,12.80,9.55,8.10,11.13,17.82,10.97,9.30,11.53,8.79,11.82,10.21,8.96,10.16,10.34,11.48,14.05,10.40,10.57,9.75,8.37,18.16,12.67,11.34,9.07,8.94,9.62,10.79,12.29,11.89,10.89,8.98,15.80,11.31,8.83,10.53
15.,food: total (1-14),39.32,44.12,47.24,47.92,40.21,38.76,47.22,42.05,40.08,37.96,41.83,37.39,36.18,38.95,37.48,42.73,41.19,41.29,43.26,40.29,39.89,40.18,46.80,38.92,36.13,43.48,41.32,37.09,46.08,39.48,33.87,44.23,41.69,54.76,52.17,37.54,39.70
16.,"pan, tobacco & intoxicants",2.16,6.51,5.24,1.60,3.69,3.62,1.70,1.55,3.68,2.11,1.66,2.59,1.37,3.78,1.14,4.50,4.73,5.26,3.49,2.65,1.56,1.80,5.23,1.99,4.10,5.12,2.98,4.58,2.65,5.34,3.90,4.19,1.83,4.02,1.54,2.35,2.41
17.,fuel and light,5.23,3.56,5.96,6.75,7.33,6.02,4.88,6.76,6.29,5.22,6.86,4.57,5.98,6.21,6.73,6.34,6.09,5.76,5.35,6.85,8.17,7.33,3.35,4.83,3.85,6.09,7.80,5.97,7.66,4.71,4.17,6.07,6.77,5.57,6.74,5.85,6.20
18.,toilet articles,2.51,2.94,3.33,2.82,3.55,2.99,2.87,3.06,2.50,3.29,3.19,2.61,2.12,3.23,2.99,3.33,3.12,3.17,4.12,2.90,3.25,2.68,2.70,2.72,2.61,3.07,3.01,2.82,2.86,2.74,2.91,3.50,2.96,2.15,2.63,2.78,2.84
19.,other household consumables,2.30,1.84,1.84,2.11,2.25,1.88,2.51,2.18,2.02,1.66,2.04,2.17,1.54,2.41,2.00,1.63,2.20,1.71,2.17,2.05,1.96,2.04,2.44,2.42,1.89,2.15,2.22,1.77,1.93,1.64,2.20,2.32,2.02,1.78,2.01,2.42,2.09
20.,education,5.58,3.30,2.68,5.39,4.82,4.82,2.34,5.31,6.19,7.92,6.28,7.51,4.07,6.56,6.27,6.42,6.05,2.51,4.70,4.30,5.67,6.80,2.64,5.20,6.11,5.07,5.94,6.11,4.75,3.62,5.71,2.01,6.05,3.44,0.60,6.29,5.73
21.,medical (hospitalization),2.13,0.51,1.20,1.62,1.29,0.68,1.83,2.34,0.95,1.74,2.67,1.71,3.40,1.31,2.76,0.89,0.51,0.54,0.46,1.18,2.75,1.15,0.17,2.07,1.21,1.70,1.69,2.29,1.53,1.23,0.13,0.82,1.26,0.73,3.86,1.03,1.89
22.,medical (non- hospitalization),5.14,2.28,2.69,4.13,4.37,2.83,3.42,2.95,3.01,3.26,3.53,2.93,5.78,4.23,3.90,2.64,1.81,2.11,1.91,4.24,4.73,3.34,1.67,3.81,2.69,6.19,4.60,3.74,6.54,2.02,3.33,1.85,4.21,1.61,3.01,3.31,3.96
23.,conveyance,8.25,8.06,7.60,5.76,9.58,8.09,10.54,9.11,7.97,7.28,8.08,8.53,10.57,9.11,8.44,12.02,7.68,6.01,6.83,8.37,9.06,9.35,5.06,9.85,9.01,6.30,7.63,8.90,5.07,8.69,9.11,5.46,8.87,7.00,7.00,11.53,8.51
24.,consumer services excluding conveyance&,5.47,4.41,5.03,5.08,5.43,6.33,4.36,5.65,5.61,6.00,5.30,6.18,6.66,5.41,6.49,5.55,5.83,5.62,4.76,4.64,5.79,5.78,5.18,5.11,6.31,3.96,5.72,6.09,5.95,4.50,10.26,4.70,6.28,5.36,3.78,6.10,5.86
25.,entertainment,1.71,1.36,1.74,1.22,1.52,1.79,1.36,1.78,1.36,0.96,1.35,1.73,1.65,1.48,1.47,1.54,1.60,1.54,1.50,1.40,1.10,1.01,1.83,1.71,2.01,1.54,1.45,1.81,1.53,1.26,1.66,0.90,1.10,0.88,0.85,1.47,1.57
