State/UT/All-India,Self-employed in agriculture,Self-employed in non-agriculture,Regular wage/salaried in agriculture,Regular wage/salaried in non-agriculture,Casual labour in agriculture,Casual labour in non-agriculture,Others,All
Andhra Pradesh,"5,030","5,116","5,964","5,427","4,637","4,666","5,415","4,996"
Arunachal Pradesh,"4,639","6,369","5,118","6,559","2,695","5,831","8,316","5,300"
Assam,"3,471","3,734","2,847","4,195","3,019","3,395","4,392","3,546"
Bihar,"3,491","3,697","3,358","3,728","3,170","3,287","3,635","3,454"
Chhattisgarh,"2,457","2,769","3,283","3,190","2,273","2,229","3,644","2,575"
Delhi,"7,472","5,543","7,726","7,015","4,640","6,307","7,506","6,595"
Goa,"6,211","8,146",-,"7,292","4,522","6,399","8,267","7,388"
Gujarat,"3,852","4,100","3,711","4,384","3,261","3,438","5,244","3,820"
Haryana,"5,422","4,957","5,954","5,375","4,064","4,170","5,372","4,912"
Himachal Pradesh,"5,243","5,175","4,081","6,142","4,039","4,121","8,635","5,573"
Jharkhand,"2,525","3,272","2,805","3,391","2,405","2,661","2,966","2,796"
Karnataka,"4,510","4,993","4,053","5,304","4,153","4,543","5,044","4,578"
Kerala,"6,937","6,147","5,171","6,552","4,783","4,887","6,543","5,960"
Madhya Pradesh,"3,233","3,543","3,454","4,089","2,825","2,788","3,625","3,158"
Maharashtra,"3,840","4,686","4,167","5,894","3,054","3,522","5,364","4,076"
Manipur,"3,864","4,787","5,619","5,106","3,696","4,046","4,474","4,370"
Meghalaya,"3,281","4,138","3,991","4,449","2,810","3,206","4,662","3,530"
Mizoram,"4,363","5,778","7,038","6,445","4,834","5,197","5,831","5,243"
Nagaland,"3,991","5,078","6,769","5,545","6,021","4,093","6,982","4,457"
Odisha,"2,783","3,472","3,755","3,836","2,603","2,787","3,269","2,996"
Punjab,"6,398","5,119","4,443","5,358","4,445","4,541","7,325","5,363"
Rajasthan,"4,177","4,564","3,969","4,875","3,460","3,584","9,024","4,348"
Sikkim,"6,728","8,807","8,680","8,429","6,319","8,236","10,203","7,787"
Tamil Nadu,"5,481","5,916","5,314","6,040","4,766","5,013","6,217","5,457"
Telangana,"4,831","5,323","5,475","5,781","4,552","5,064","5,243","4,959"
Tripura,"4,866","5,476","5,609","6,394","4,761","5,120","6,732","5,301"
Uttar Pradesh,"3,400","3,439","3,398","3,711","3,006","2,877","3,273","3,277"
Uttarakhand,"4,394","5,046","4,415","5,514","4,044","3,830","5,889","4,721"
West Bengal,"3,398","3,795","3,098","4,077","2,954","3,076","3,968","3,407"
Andaman & N. Island,"5,727","7,264","8,178","8,417","5,620","6,709","8,666","7,332"
Chandigarh,"7,233","7,018","5,800","8,179","5,569","6,039","11,377","7,467"
Dadra & Nagar Haveli and Daman & Diu,"3,143","5,225","3,274","5,044","4,525","3,850","4,359","4,229"
Jammu & Kashmir,"4,525","4,628","3,491","4,969","3,381","3,183","5,364","4,357"
Ladakh,"2,999","3,854","4,769","4,721","5,509","5,104","2,946","4,062"
Lakshadweep,"5,141","5,520","7,068","6,140","5,889","5,933","8,334","5,979"
Puducherry,"7,176","6,011","5,892","6,517","5,284","4,965","14,954","6,627"
All-India,"3,783","4,159","3,692","4,606","3,379","3,410","4,771","3,860"
