State/UT/All-India,Self-employed,Regular wage/salaried,Casual labour,Others,All
Andhra Pradesh,"6,655","7,298","5,310","8,478","6,877"
Arunachal Pradesh,"7,587","9,096","6,576","13,100","8,649"
Assam,"5,766","6,831","4,318","8,478","6,210"
Bihar,"4,868","5,145","3,568","6,875","4,819"
Chhattisgarh,"4,475","4,998","2,932","5,874","4,557"
Delhi,"8,259","8,416","5,089","10,374","8,250"
Goa,"10,221","8,570","7,157","7,608","8,761"
Gujarat,"6,910","6,750","4,473","8,917","6,630"
Haryana,"7,526","8,867","4,910","9,976","7,948"
Himachal Pradesh,"7,242","8,353","4,541","9,990","8,083"
Jharkhand,"4,853","5,367","3,276","5,583","4,946"
Karnataka,"6,749","8,827","5,057","11,583","7,781"
Kerala,"7,165","8,133","4,866","8,228","7,102"
Madhya Pradesh,"4,580","5,800","3,499","8,228","5,011"
Maharashtra,"6,432","7,196","4,000","8,924","6,683"
Manipur,"4,738","5,430","4,033","4,952","4,902"
Meghalaya,"5,753","7,464","4,727","6,977","6,450"
Mizoram,"7,113","8,193","6,691","8,291","7,664"
Nagaland,"6,775","7,579","5,372","8,058","7,159"
Odisha,"4,752","6,475","3,144","6,010","5,223"
Punjab,"6,606","6,556","4,919","9,775","6,577"
Rajasthan,"5,807","6,476","4,162","8,425","5,970"
Sikkim,"10,532","12,282","10,421","20,650","12,125"
Tamil Nadu,"7,624","8,213","6,004","9,122","7,742"
Telangana,"7,374","8,690","6,305","11,219","8,251"
Tripura,"7,018","8,592","5,842","9,031","7,473"
Uttar Pradesh,"4,710","5,957","3,738","6,573","5,104"
Uttarakhand,"6,476","7,745","4,493","9,273","7,034"
West Bengal,"5,391","5,833","3,699","7,554","5,426"
Andaman & N. Island,"10,303","10,395","9,266","9,685","10,268"
Chandigarh,"10,520","12,476","6,397","19,632","12,577"
Dadra & Nagar Haveli and Daman & Diu,"6,041","6,375","5,502","6,869","6,306"
Jammu & Kashmir,"5,604","7,096","4,191","6,889","6,200"
Ladakh,"5,610","6,877","7,147","5,756","6,227"
Lakshadweep,"5,235","5,744","5,541","5,772","5,511"
Puducherry,"7,477","8,186","6,551","8,954","7,741"
All-India,"6,132","7,198","4,474","8,666","6,521"
