State/UT/All-India,RSE (%) of Average MPCE | Rural,RSE (%) of Average MPCE | Urban,95% Confidence Intervals | Rural | Lower limit,95% Confidence Intervals | Rural | Upper limit,95% Confidence Intervals | Urban | Lower limit,95% Confidence Intervals | Urban | Upper limit
Andhra Pradesh,1.38,2.55,"4,738","5,002","6,443","7,121"
Arunachal Pradesh,2.88,2.80,"4,978","5,574","8,163","9,109"
Assam,1.32,2.58,"3,343","3,521","5,825","6,447"
Bihar,0.92,2.65,"3,323","3,445","4,520","5,016"
Chhattisgarh,2.62,3.44,"2,339","2,593","4,181","4,785"
Delhi,6.16,4.72,"5,782","7,370","7,458","8,976"
Goa,3.97,6.15,"6,793","7,941","7,680","9,788"
Gujarat,1.35,2.30,"3,697","3,899","6,323","6,919"
Haryana,2.06,4.19,"4,662","5,056","7,261","8,561"
Himachal Pradesh,5.18,3.80,"4,996","6,126","7,474","8,676"
Jharkhand,1.89,2.74,"2,660","2,866","4,667","5,195"
Karnataka,1.37,2.18,"4,279","4,515","7,338","7,994"
Kerala,1.82,2.48,"5,712","6,136","6,734","7,422"
Madhya Pradesh,1.20,2.47,"3,040","3,186","4,746","5,228"
Maharashtra,2.38,1.85,"3,823","4,197","6,416","6,898"
Manipur,2.46,1.86,"4,150","4,570","4,702","5,058"
Meghalaya,2.81,3.87,"3,320","3,708","5,945","6,921"
Mizoram,3.83,1.85,"4,832","5,616","7,377","7,933"
Nagaland,2.58,2.95,"4,171","4,615","6,688","7,508"
Odisha,1.35,3.50,"2,872","3,028","4,832","5,542"
Punjab,1.50,2.34,"5,159","5,471","6,244","6,844"
Rajasthan,4.29,2.37,"3,904","4,622","5,638","6,188"
Sikkim,2.71,5.43,"7,320","8,142","10,817","13,393"
Tamil Nadu,1.54,2.34,"5,150","5,470","7,279","7,981"
Telangana,1.60,3.23,"4,651","4,953","7,641","8,675"
Tripura,1.58,2.43,"5,044","5,368","7,052","7,758"
Uttarakhand,3.38,5.52,"4,334","4,948","6,246","7,762"
Uttar Pradesh,0.72,1.52,"3,146","3,236","4,890","5,190"
West Bengal,1.16,1.99,"3,165","3,313","5,062","5,472"
Andaman & Nicobar Islands,5.03,4.18,"6,609","8,055","9,426","11,110"
Chandigarh,2.93,8.89,"7,038","7,896","10,385","14,765"
Dadra & Nagar Haveli and Daman & Diu,8.72,3.63,"3,469","4,899","5,850","6,746"
Jammu & Kashmir,4.20,2.63,"3,942","4,650","5,861","6,497"
Ladakh,11.57,6.67,"3,120","4,950","5,402","7,028"
Lakshadweep,2.57,3.85,"5,598","6,192","5,062","5,888"
Puducherry,9.62,4.01,"5,347","7,833","7,100","8,312"
All-India,0.55,0.64,"3,733","3,813","6,377","6,541"
