Major state,"clothing, bedding, footwear",conveyance,durable goods,education,fuel & light,medical,"misc. goods, entertainment",others,total
Andhra Pradesh,8.3,13.6,10.9,9.2,8.6,12.0,10.8,26.5,100.0
Assam,10.0,14.4,10.8,5.1,11.3,7.4,13.1,27.9,100.0
Bihar,10.6,11.1,12.3,10.4,13.0,11.0,11.8,19.8,100.0
Chhattisgarh,9.8,16.0,10.7,8.1,12.3,9.5,12.3,21.4,100.0
Gujarat,9.5,15.7,12.1,9.2,11.7,9.1,12.1,20.5,100.0
Haryana,9.9,13.3,12.3,10.3,10.5,6.6,9.8,27.3,100.0
Jharkhand,10.0,13.9,11.5,10.8,11.8,10.7,11.3,20.0,100.0
Karnataka,6.9,13.6,9.8,12.0,7.3,7.4,10.4,32.5,100.0
Kerala,7.2,16.6,18.7,6.4,9.4,14.4,8.3,19.1,100.0
Madhya Pradesh,9.4,14.9,12.1,10.8,10.2,9.1,11.7,21.9,100.0
Maharashtra,8.5,13.5,9.8,10.0,10.8,10.7,10.4,26.3,100.0
Odisha,10.4,14.0,13.2,7.2,11.5,9.1,10.7,23.9,100.0
Punjab,11.0,15.1,11.1,9.4,13.6,12.4,10.5,16.9,100.0
Rajasthan,10.4,15.6,13.4,11.4,12.3,7.5,9.6,19.9,100.0
Tamil Nadu,7.1,16.1,11.1,8.5,7.9,9.6,11.2,28.3,100.0
Telangana,8.6,14.1,12.0,9.6,6.0,6.1,10.2,33.4,100.0
Uttar Pradesh,9.8,13.0,11.1,10.1,13.3,10.7,11.4,20.6,100.0
West Bengal,10.6,9.4,9.8,8.8,14.2,15.0,11.8,20.4,100.0
All-India,8.9,14.1,11.8,9.5,10.3,9.7,10.8,24.9,100.0
