Major state,monthly per capita cereal consumption (kg),% share in total per capita cereal consumption (qty) of | rice,% share in total per capita cereal consumption (qty) of | wheat,% share in total per capita cereal consumption (qty) of | coarse grains,% share in total per capita cereal consumption (qty) of | other cereals
Andhra Pradesh,9.30,92.22,5.31,2.25,0.23
Assam,9.39,95.93,4.01,0.00,0.05
Bihar,11.14,56.39,43.31,0.29,0.03
Chhattisgarh,10.27,92.24,7.74,0.01,0.01
Gujarat,8.28,31.42,51.02,16.69,0.88
Haryana,8.22,9.77,88.56,1.47,0.21
Jharkhand,9.93,68.36,31.34,0.25,0.04
Karnataka,9.01,65.95,13.95,19.43,0.67
Kerala,6.60,88.20,11.22,0.11,0.49
Madhya Pradesh,9.68,27.37,70.05,2.46,0.12
Maharashtra,8.31,36.39,50.84,12.31,0.45
Odissa,11.21,90.84,8.42,0.51,0.23
Punjab,7.55,11.60,87.54,0.60,0.27
Rajasthan,10.55,3.19,84.77,11.52,0.53
Tamil Nadu,7.83,90.72,7.20,1.49,0.57
Telangana,10.11,92.06,5.00,2.53,0.42
Uttar Pradesh,9.38,39.99,59.81,0.14,0.06
West Bengal,11.23,81.75,18.24,0.00,0.00
All-India,9.61,55.35,40.93,3.48,0.22
