Major state,monthly per capita cereal consumption (kg),% share in total per capita cereal consumption (qty) of | rice,% share in total per capita cereal consumption (qty) of | wheat,% share in total per capita cereal consumption (qty) of | coarse grains,% share in total per capita cereal consumption (qty) of | other cereals
Andhra Pradesh,8.29,90.55,7.73,1.60,0.12
Assam,8.78,91.10,8.85,0.00,0.06
Bihar,10.45,53.08,46.83,0.07,0.02
Chhattisgarh,10.43,79.81,20.11,0.01,0.07
Gujarat,7.27,30.01,65.42,4.18,0.40
Haryana,7.30,17.09,81.48,1.36,0.10
Jharkhand,9.59,56.97,42.97,0.03,0.03
Karnataka,7.80,68.53,17.99,12.94,0.54
Kerala,6.02,87.27,12.36,0.08,0.30
Madhya Pradesh,8.39,23.22,76.42,0.30,0.06
Maharashtra,7.47,40.53,53.42,5.65,0.40
Odissa,9.99,81.86,17.86,0.20,0.09
Punjab,7.32,13.62,85.87,0.37,0.12
Rajasthan,9.50,5.22,93.47,1.20,0.09
Tamil Nadu,7.22,89.62,9.58,0.64,0.18
Telangana,8.77,88.90,10.09,0.78,0.23
Uttar Pradesh,8.10,33.51,66.33,0.12,0.04
West Bengal,9.32,74.03,25.96,0.00,0.01
All-India,8.05,53.20,44.53,2.09,0.19
