Major state,cereal,milk and milk products,vegetables,fruits,"egg, fish & meat","beverages, processed food, etc.",others,total
Andhra Pradesh,9.2,14.9,9.0,11.3,11.9,28.0,15.7,100.0
Assam,8.7,10.5,11.8,9.6,17.0,27.7,14.7,100.0
Bihar,12.9,18.6,10.9,8.7,10.1,20.4,18.3,100.0
Chhattisgarh,10.8,13.3,15.8,9.9,6.1,21.0,23.1,100.0
Gujarat,8.6,24.1,9.9,8.5,2.8,26.1,19.9,100.0
Haryana,7.3,33.1,11.9,8.3,2.7,23.5,13.3,100.0
Jharkhand,14.2,16.1,11.3,8.7,9.7,21.2,18.9,100.0
Karnataka,9.0,11.9,8.5,10.8,10.5,32.9,16.4,100.0
Kerala,7.2,9.6,7.6,12.0,19.8,28.4,15.3,100.0
Madhya Pradesh,10.3,23.1,9.9,9.6,4.3,23.3,19.5,100.0
Maharashtra,9.7,15.9,9.7,11.0,8.0,27.3,18.4,100.0
Odisha,11.7,10.8,12.8,8.4,11.3,26.6,18.5,100.0
Punjab,7.3,32.3,9.8,8.3,2.9,24.8,14.6,100.0
Rajasthan,9.6,33.2,8.7,9.3,2.3,21.3,15.5,100.0
Tamil Nadu,8.4,11.9,9.4,10.0,12.3,33.7,14.3,100.0
Telangana,10.8,13.7,8.2,9.6,11.9,32.4,13.5,100.0
Uttar Pradesh,9.2,25.2,9.8,9.4,5.6,22.3,18.4,100.0
West Bengal,11.4,9.6,10.8,7.5,18.9,25.0,16.9,100.0
All-India,9.3,18.4,9.7,9.7,9.1,27.2,16.6,100.0
