Major state,Average MPCE (Rs.) | Rural,Average MPCE (Rs.) | Urban,Average MPCE (Rs.) | urban-rural differences (%) in MPCE,Average MPCE (Rs.) with imputation | Rural,Average MPCE (Rs.) with imputation | Urban,Average MPCE (Rs.) with imputation | urban-rural differences (%) in MPCE
Andhra Pradesh,"4,870","6,782",39,"4,996","6,877",38
Assam,"3,432","6,136",79,"3,546","6,210",75
Bihar,"3,384","4,768",41,"3,454","4,819",40
Chhattisgarh,"2,466","4,483",82,"2,575","4,557",77
Gujarat,"3,798","6,621",74,"3,820","6,630",74
Haryana,"4,859","7,911",63,"4,912","7,948",62
Jharkhand,"2,763","4,931",78,"2,796","4,946",77
Karnataka,"4,397","7,666",74,"4,578","7,781",70
Kerala,"5,924","7,078",19,"5,960","7,102",19
Madhya Pradesh,"3,113","4,987",60,"3,158","5,011",59
Maharashtra,"4,010","6,657",66,"4,076","6,683",64
Odisha,"2,950","5,187",76,"2,996","5,223",74
Punjab,"5,315","6,544",23,"5,363","6,577",23
Rajasthan,"4,263","5,913",39,"4,348","5,970",37
Tamil Nadu,"5,310","7,630",44,"5,457","7,742",42
Telangana,"4,802","8,158",70,"4,959","8,251",66
Uttar Pradesh,"3,191","5,040",58,"3,277","5,104",56
West Bengal,"3,239","5,267",63,"3,407","5,426",59
All-India,"3,773","6,459",71,"3,860","6,521",69
