Major states,Rural | ST,Rural | SC,Rural | OBC,Rural | Others,Rural | all#,Urban | ST,Urban | SC,Urban | OBC,Urban | Others,Urban | all#
Andhra Pradesh,"3,956","4,699","4,957","5,637","4,996","6,426","6,515","6,438","7,718","6,877"
Assam,"3,404","3,503","3,527","3,629","3,546","5,473","5,269","6,442","6,472","6,210"
Bihar,"2,994","3,131","3,552","3,745","3,454","3,702","3,728","4,556","6,323","4,819"
Chhattisgarh,"2,367","2,473","2,771","3,273","2,575","4,160","3,766","4,042","5,888","4,557"
Gujarat,"3,452","3,611","3,666","4,621","3,820","5,340","5,336","5,881","7,695","6,630"
Haryana,"4,993","4,383","4,819","5,529","4,912","6,262","5,939","7,119","9,449","7,948"
Jharkhand,"2,248","2,870","3,035","3,508","2,796","3,775","3,910","4,760","6,005","4,946"
Karnataka,"4,284","4,459","4,547","5,137","4,578","6,155","6,527","7,628","9,188","7,781"
Kerala,"4,650","5,121","5,423","7,480","5,960","9,429","5,862","6,465","8,838","7,102"
Madhya Pradesh,"2,698","3,037","3,344","3,743","3,158","4,482","4,446","4,688","5,940","5,011"
Maharashtra,"2,802","3,808","4,088","4,762","4,076","5,366","5,528","5,942","7,498","6,683"
Orissa,"2,423","2,954","3,305","3,532","2,996","3,609","4,547","5,086","6,276","5,223"
Punjab,"5,346","4,651","5,364","6,316","5,363","5,832","5,402","6,326","7,747","6,577"
Rajasthan,"3,322","3,883","4,604","5,495","4,348","5,874","4,795","5,592","7,207","5,970"
Tamil Nadu,"4,872","5,067","5,596","5,940","5,457","6,219","6,549","7,899","7,952","7,742"
Telangana,"4,538","4,716","5,092","5,415","4,959","6,439","6,927","7,928","9,595","8,251"
Uttar Pradesh,"2,394","2,991","3,277","3,821","3,277","4,698","4,574","4,723","6,119","5,104"
West Bengal,"2,840","3,330","3,403","3,585","3,407","5,402","4,789","4,510","5,778","5,426"
All-India,"3,098","3,571","3,935","4,472","3,860","5,472","5,386","6,245","7,382","6,521"
