Major state,self-employed in agriculture,self-employed in non-agriculture,regular wage/salaried in agriculture,regular wage/salaried in non-agriculture,casual labour in agriculture,casual labour in non-agriculture,others,all
Andhra Pradesh,"5,030","5,116","5,964","5,427","4,637","4,666","5,415","4,996"
Assam,"3,471","3,734","2,847","4,195","3,019","3,395","4,392","3,546"
Bihar,"3,491","3,697","3,358","3,728","3,170","3,287","3,635","3,454"
Chhattisgarh,"2,457","2,769","3,283","3,190","2,273","2,229","3,644","2,575"
Gujarat,"3,852","4,100","3,711","4,384","3,261","3,438","5,244","3,820"
Haryana,"5,422","4,957","5,954","5,375","4,064","4,170","5,372","4,912"
Jharkhand,"2,525","3,272","2,805","3,391","2,405","2,661","2,966","2,796"
Karnataka,"4,510","4,993","4,053","5,304","4,153","4,543","5,044","4,578"
Kerala,"6,937","6,147","5,171","6,552","4,783","4,887","6,543","5,960"
Madhya Pradesh,"3,233","3,543","3,454","4,089","2,825","2,788","3,625","3,158"
Maharashtra,"3,840","4,686","4,167","5,894","3,054","3,522","5,364","4,076"
Odisha,"2,783","3,472","3,755","3,836","2,603","2,787","3,269","2,996"
Punjab,"6,398","5,119","4,443","5,358","4,445","4,541","7,325","5,363"
Rajasthan,"4,177","4,564","3,969","4,875","3,460","3,584","9,024","4,348"
Tamil Nadu,"5,481","5,916","5,314","6,040","4,766","5,013","6,217","5,457"
Telangana,"4,831","5,323","5,475","5,781","4,552","5,064","5,243","4,959"
Uttar Pradesh,"3,400","3,439","3,398","3,711","3,006","2,877","3,273","3,277"
West Bengal,"3,398","3,795","3,098","4,077","2,954","3,076","3,968","3,407"
All-India,"3,783","4,159","3,692","4,606","3,379","3,410","4,771","3,860"
