State/UT/All-India,0-5,5-10,10-20,20-30,30-40,40-50,50-60,60-70,70-80,80-90,90-95,95-100,all
Andhra Pradesh,"1,952","2,442","2,861","3,320","3,721","4,126","4,570","5,111","5,754","6,732","8,062","12,560","4,870"
Arunachal Pradesh,"1,634","2,135","2,610","3,205","3,851","4,474","5,035","5,717","6,558","7,868","9,549","13,576","5,276"
Assam,"1,523","1,905","2,202","2,508","2,782","3,052","3,322","3,635","4,002","4,565","5,452","7,630","3,432"
Bihar,"1,338","1,777","2,113","2,440","2,717","2,980","3,259","3,575","3,990","4,608","5,440","7,762","3,384"
Chhattisgarh,882,"1,141","1,352","1,591","1,824","2,044","2,282","2,564","2,972","3,558","4,333","6,599","2,466"
Delhi,"2,926","3,791","4,181","4,659","5,139","5,717","6,355","7,113","7,892","8,871","10,686","14,197","6,576"
Goa,"3,524","4,190","4,812","5,329","5,857","6,330","6,957","7,495","8,295","9,743","11,593","18,295","7,367"
Gujarat,"1,706","2,102","2,389","2,670","2,939","3,214","3,539","3,912","4,405","5,173","6,283","9,395","3,798"
Haryana,"1,830","2,392","2,900","3,397","3,825","4,231","4,657","5,129","5,755","6,731","8,042","11,654","4,859"
Himachal Pradesh,"2,203","2,678","3,049","3,438","3,854","4,325","4,798","5,419","6,355","7,840","10,368","17,822","5,561"
Jharkhand,"1,050","1,339","1,569","1,814","2,048","2,276","2,558","2,913","3,357","4,018","4,799","6,966","2,763"
Karnataka,"1,958","2,362","2,734","3,081","3,395","3,755","4,156","4,587","5,174","6,071","7,231","10,486","4,397"
Kerala,"2,113","2,751","3,231","3,737","4,187","4,667","5,232","5,884","6,811","8,386","10,654","18,677","5,924"
Madhya Pradesh,"1,291","1,609","1,895","2,185","2,433","2,686","2,937","3,254","3,656","4,265","5,149","7,584","3,113"
Maharashtra,"1,386","1,806","2,143","2,475","2,809","3,154","3,556","4,045","4,686","5,686","7,239","12,671","4,010"
Manipur,"1,883","2,360","2,708","3,064","3,433","3,800","4,201","4,658","5,203","6,031","7,073","9,695","4,360"
Meghalaya,"1,468","1,837","2,156","2,484","2,773","3,077","3,383","3,708","4,168","4,777","5,615","8,313","3,514"
Mizoram,"2,123","2,663","3,184","3,574","3,942","4,339","4,834","5,421","6,113","7,292","8,773","13,523","5,224"
Nagaland,"1,660","2,283","2,607","2,958","3,321","3,688","4,091","4,610","5,295","6,249","7,365","10,928","4,393"
Odisha,"1,247","1,561","1,809","2,058","2,289","2,511","2,763","3,059","3,439","4,058","4,913","7,303","2,950"
Punjab,"2,377","2,921","3,315","3,759","4,132","4,581","5,037","5,565","6,241","7,268","8,592","12,617","5,315"
Rajasthan,"1,510","1,922","2,314","2,716","3,085","3,461","3,845","4,284","4,858","5,779","7,226","13,919","4,263"
Sikkim,"3,321","4,173","4,867","5,574","6,224","6,874","7,494","8,121","8,910","10,255","12,567","17,885","7,731"
Tamil Nadu,"2,041","2,676","3,163","3,643","4,032","4,450","4,924","5,479","6,235","7,482","9,032","13,639","5,310"
Telangana,"2,168","2,665","3,059","3,459","3,851","4,230","4,635","5,115","5,705","6,517","7,496","10,574","4,802"
Tripura,"2,365","2,940","3,401","3,816","4,195","4,614","5,036","5,501","6,128","7,036","8,252","11,104","5,206"
Uttar Pradesh,"1,377","1,695","1,951","2,225","2,469","2,720","2,993","3,309","3,714","4,344","5,253","8,043","3,191"
Uttarakhand,"1,894","2,326","2,698","3,104","3,484","3,954","4,380","4,928","5,609","6,621","7,850","11,145","4,641"
West Bengal,"1,385","1,755","2,019","2,274","2,509","2,753","3,038","3,367","3,789","4,437","5,329","7,945","3,239"
Andaman & N. Island,"3,066","3,693","4,160","4,656","5,395","6,013","6,661","7,463","8,507","10,016","12,765","21,557","7,332"
Chandigarh,"3,871","4,368","4,775","5,329","5,730","6,283","6,981","7,803","8,824","9,974","11,928","17,780","7,467"
Dadra & Nagar Haveli and Daman & Diu,"1,477","1,709","2,046","2,499","2,955","3,349","3,852","4,411","5,292","6,405","7,980","10,918","4,184"
Jammu & Kashmir,"1,800","2,144","2,454","2,820","3,174","3,487","3,860","4,391","5,137","6,294","7,840","10,884","4,296"
Ladakh,"1,296","1,596","1,892","2,462","2,941","3,475","3,926","4,482","4,994","5,753","6,917","11,183","4,035"
Lakshadweep,"2,761","3,280","3,568","3,894","4,302","4,610","5,060","5,766","6,863","8,633","11,250","15,214","5,895"
Puducherry,"2,819","3,489","3,935","4,489","4,967","5,327","5,736","6,187","6,824","8,309","9,607","24,260","6,590"
All-India,"1,373","1,782","2,112","2,454","2,768","3,094","3,455","3,887","4,458","5,356","6,638","10,501","3,773"
