State/UT/All-India,0-5,5-10,10-20,20-30,30-40,40-50,50-60,60-70,70-80,80-90,90-95,95-100,all
Andhra Pradesh,"2,187","3,017","3,676","4,297","4,858","5,451","6,136","6,911","7,903","9,806","12,589","19,784","6,782"
Arunachal Pradesh,"2,993","3,758","4,514","5,478","6,349","7,120","7,953","8,923","10,284","12,418","15,720","24,188","8,636"
Assam,"2,149","2,729","3,212","3,814","4,355","4,883","5,497","6,281","7,326","9,005","11,548","17,585","6,136"
Bihar,"1,739","2,174","2,585","3,018","3,425","3,825","4,266","4,851","5,677","6,972","8,749","13,451","4,768"
Chhattisgarh,"1,350","1,819","2,207","2,615","3,042","3,499","3,949","4,463","5,232","6,640","9,134","14,059","4,483"
Delhi,"2,540","3,311","4,008","4,643","5,236","5,889","6,636","7,662","9,361","12,518","17,634","28,965","8,217"
Goa,"3,855","4,719","5,220","5,927","6,503","6,967","7,697","8,698","9,891","12,005","14,881","25,360","8,734"
Gujarat,"2,339","3,036","3,575","4,188","4,734","5,325","5,976","6,709","7,742","9,410","12,198","19,536","6,621"
Haryana,"2,192","3,099","3,754","4,439","5,096","5,823","6,700","7,909","9,503","12,018","15,453","26,956","7,911"
Himachal Pradesh,"2,449","3,364","3,923","4,637","5,518","6,382","7,299","8,098","9,591","11,776","15,206","26,037","8,075"
Jharkhand,"1,554","2,087","2,493","2,997","3,416","3,877","4,475","5,123","5,975","7,275","9,290","14,400","4,931"
Karnataka,"2,397","3,124","3,787","4,504","5,203","5,979","6,809","7,862","9,250","11,410","14,514","23,666","7,666"
Kerala,"2,283","2,866","3,378","3,914","4,517","5,148","5,862","6,806","8,139","10,436","13,893","26,126","7,078"
Madhya Pradesh,"1,860","2,283","2,655","3,048","3,441","3,868","4,373","5,017","5,884","7,253","9,230","15,291","4,987"
Maharashtra,"2,083","2,689","3,262","3,900","4,507","5,132","5,845","6,710","7,812","9,739","12,585","21,973","6,657"
Manipur,"2,083","2,621","3,014","3,422","3,826","4,221","4,663","5,209","5,852","6,823","8,072","10,773","4,880"
Meghalaya,"2,006","2,984","3,725","4,312","4,812","5,289","5,784","6,480","7,651","9,229","11,256","17,766","6,433"
Mizoram,"3,098","4,078","4,812","5,542","6,164","6,736","7,395","8,086","8,956","10,345","12,161","17,656","7,655"
Nagaland,"3,087","3,751","4,324","4,920","5,440","6,100","6,684","7,383","8,258","9,589","11,737","17,948","7,098"
Odisha,"1,532","2,027","2,406","2,850","3,308","3,872","4,501","5,172","6,229","8,089","10,710","16,602","5,187"
Punjab,"2,510","3,149","3,673","4,203","4,755","5,309","5,968","6,687","7,674","9,325","11,614","18,435","6,544"
Rajasthan,"2,077","2,612","3,138","3,635","4,113","4,605","5,201","5,929","6,974","8,591","10,930","18,302","5,913"
Sikkim,"4,523","5,842","6,896","7,740","8,722","9,659","10,698","12,006","13,857","17,821","23,357","33,635","12,105"
Tamil Nadu,"2,649","3,453","4,101","4,828","5,461","6,142","6,929","7,827","9,031","10,937","14,071","21,885","7,630"
Telangana,"3,094","3,839","4,420","5,076","5,742","6,494","7,307","8,367","9,713","11,789","15,053","23,356","8,158"
Tripura,"3,309","4,033","4,561","5,186","5,709","6,269","6,885","7,584","8,535","10,136","12,398","18,706","7,405"
Uttar Pradesh,"1,820","2,299","2,671","3,101","3,511","3,911","4,390","4,979","5,819","7,199","9,376","16,150","5,040"
Uttarakhand,"2,206","2,820","3,419","4,234","4,842","5,502","6,311","7,351","8,680","10,367","12,670","20,957","7,004"
West Bengal,"1,723","2,252","2,689","3,122","3,553","4,055","4,630","5,304","6,275","7,796","10,149","16,376","5,267"
Andaman & N. Island,"4,007","5,168","5,940","6,921","7,699","8,524","9,526","10,569","11,978","14,277","18,471","26,890","10,268"
Chandigarh,"4,348","5,087","6,227","7,524","8,727","10,488","12,015","13,900","16,180","18,740","22,634","31,755","12,575"
Dadra & Nagar Haveli and Daman & Diu,"3,013","3,646","4,090","4,568","4,921","5,332","5,932","6,602","7,452","8,744","10,350","13,626","6,298"
Jammu & Kashmir,"2,301","3,055","3,610","4,234","4,750","5,342","5,866","6,457","7,321","8,582","10,057","15,799","6,179"
Ladakh,"1,948","2,574","3,169","3,883","4,496","5,087","5,840","6,647","7,786","9,492","11,706","15,316","6,215"
Lakshadweep,"2,831","3,157","3,512","3,890","4,213","4,599","5,034","5,574","6,321","7,382","8,982","13,441","5,475"
Puducherry,"2,393","3,486","4,593","5,417","6,120","6,689","7,408","8,168","8,972","10,726","13,182","18,996","7,706"
All-India,"2,001","2,607","3,157","3,762","4,348","4,963","5,662","6,524","7,673","9,582","12,399","20,824","6,459"
