sl. no.,item category,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,A & N Island,Chandigarh,Dadra & Nagar Haveli and Daman & Diu,Jammu & Kashmir,Ladakh,Lakshadweep,Puducherry,All-India
1.,cereal,239.55,295.69,248.93,291.63,189.75,209.34,291.98,239.08,228.22,268.08,291.71,252.62,178.29,196.05,237.01,273.77,215.95,133.48,253.95,241.92,189.82,225.24,300.66,245.26,312.41,245.15,188.80,252.70,268.41,356.00,208.47,341.02,269.47,192.82,187.92,287.46,234.00
2.,cereal substitutes,-,0.02,-,0.01,0.03,0.01,-,0.34,0.90,-,-,0.02,5.39,2.37,3.93,-,-,-,0.42,-,-,0.19,0.74,0.25,0.02,-,0.08,0.00,-,-,-,-,0.12,-,-,-,1.00
3.,gram,5.40,8.45,5.83,10.94,13.17,16.69,20.69,18.79,16.86,20.10,13.37,12.40,14.39,13.02,12.01,7.26,3.95,0.84,2.08,8.63,18.62,11.34,13.95,9.22,6.02,3.11,12.97,16.25,7.05,8.89,24.21,17.02,7.16,4.68,27.86,15.12,11.93
4.,pulses and pulse products*,90.63,70.39,74.06,74.22,96.22,81.60,89.96,82.19,67.76,109.72,74.20,90.74,78.04,70.01,90.88,31.91,44.06,39.76,43.56,89.44,71.84,41.11,95.85,86.71,80.57,59.17,69.76,112.50,62.11,128.69,104.56,107.54,75.76,49.76,79.81,111.92,78.06
5.,sugar,23.03,20.62,19.85,27.76,28.38,45.61,30.55,43.44,50.83,39.97,20.78,34.68,32.39,38.12,41.89,12.59,23.39,17.27,16.05,24.05,51.74,46.14,39.53,21.43,22.34,19.64,35.90,46.79,24.58,42.58,41.17,25.13,32.77,19.61,64.13,25.94,34.38
6.,salt,5.09,4.00,5.05,5.76,4.35,5.09,4.25,4.76,5.09,3.49,4.35,4.42,2.85,3.21,5.01,4.02,4.53,6.65,4.41,5.51,4.69,4.84,3.76,3.93,5.23,5.29,4.55,4.92,5.75,5.22,4.45,7.23,6.43,6.54,3.53,4.47,4.68
7.,milk and milk products,390.52,339.21,300.82,420.23,234.79,836.74,449.93,669.78,"1,040.79",686.09,330.26,332.84,245.61,446.35,393.99,167.96,207.56,204.22,258.13,224.27,836.85,776.47,901.17,345.30,394.53,359.49,516.59,570.32,225.03,401.68,"1,134.08",412.65,651.82,838.61,149.46,346.63,466.01
8.,vegetables,235.52,404.02,338.54,246.61,278.23,297.75,280.52,276.02,375.45,314.25,231.51,238.92,194.66,190.68,240.20,238.84,352.08,425.20,389.84,264.72,254.16,203.14,549.81,272.86,237.16,396.50,201.52,255.83,252.92,534.48,282.40,375.03,253.69,303.53,217.39,248.90,245.37
9.,fruits (fresh),194.48,233.22,181.48,126.33,113.56,173.35,349.57,152.11,184.96,188.68,119.21,204.37,245.34,113.34,160.30,134.82,171.88,197.72,199.19,133.04,147.95,139.07,253.27,210.01,175.02,252.26,112.92,131.99,134.63,285.09,342.34,129.19,134.68,212.79,265.90,239.07,161.41
10.,fruits (dry),101.48,110.08,92.72,71.03,61.66,138.75,72.16,84.25,75.25,113.36,59.96,97.71,60.36,71.17,113.90,37.25,39.06,68.49,41.63,41.46,67.17,79.77,204.63,80.84,101.62,93.44,80.14,105.05,41.19,76.17,97.63,37.14,86.94,96.86,109.92,104.04,84.32
