State/UT/All-India,rice,wheat,coarse grains,other cereals,total cereals
Andhra Pradesh,168.05,24.26,8.00,0.82,201.13
Arunachal Pradesh,212.81,7.99,0.92,0.64,222.37
Assam,162.24,15.86,0.04,0.30,178.44
Bihar,106.10,131.34,0.67,0.12,238.24
Chhattisgarh,57.52,28.82,0.05,0.06,86.44
Delhi,76.53,131.43,0.27,0.27,208.51
Goa,173.06,84.92,3.13,2.82,263.94
Gujarat,48.22,86.95,37.16,1.99,174.31
Haryana,34.27,115.36,1.91,0.49,152.03
Himachal Pradesh,83.46,109.70,5.89,1.42,200.46
Jharkhand,126.44,70.45,0.68,0.31,197.88
Karnataka,87.89,48.88,52.27,2.42,191.46
Kerala,146.59,26.97,0.51,1.27,175.34
Madhya Pradesh,33.20,112.80,4.36,0.58,150.93
Maharashtra,55.65,82.78,32.63,1.49,172.55
Manipur,268.34,1.22,0.15,0.22,269.93
Meghalaya,142.17,6.12,0.01,-,148.29
Mizoram,123.33,2.42,-,0.01,125.76
Nagaland,222.04,2.93,1.37,3.11,229.46
Odisha,145.89,34.36,0.83,0.82,181.89
Punjab,41.85,105.68,1.73,1.04,150.31
Rajasthan,16.41,130.83,28.01,1.39,176.63
Sikkim,145.79,33.69,3.47,2.96,185.91
Tamil Nadu,182.96,23.63,5.08,1.76,213.43
Telangana,199.06,23.38,12.15,1.57,236.16
Tripura,180.71,10.29,-,0.01,191.01
Uttar Pradesh,46.45,103.57,0.28,0.31,150.60
Uttarakhand,81.04,117.44,1.79,0.64,200.91
West Bengal,189.77,25.17,0.03,0.03,214.99
Andaman & N. Island,198.82,57.05,0.25,0.02,256.14
Chandigarh,53.16,158.88,0.17,0.28,212.50
Dadra & Nagar Haveli and Daman & Diu,110.91,77.15,12.08,0.53,200.68
Jammu & Kashmir,116.93,79.82,6.96,0.22,203.94
Ladakh,75.59,36.09,0.82,0.66,113.16
Lakshadweep,108.41,49.66,0.39,0.05,158.50
Puducherry,208.97,32.56,4.12,0.15,245.80
All-India,94.74,79.48,9.42,0.77,184.42
