State/UT/All-India,rice,wheat,coarse grains,other cereals,total cereals
Andhra Pradesh,201.00,32.56,5.53,0.47,239.55
Arunachal Pradesh,273.98,21.42,0.07,0.22,295.69
Assam,212.58,36.00,0.01,0.34,248.93
Bihar,142.95,148.36,0.17,0.15,291.63
Chhattisgarh,112.38,76.77,0.06,0.53,189.75
Delhi,72.75,135.98,0.03,0.58,209.34
Goa,192.21,96.98,1.56,1.23,291.98
Gujarat,79.50,148.80,9.67,1.11,239.08
Haryana,74.07,151.41,2.31,0.44,228.22
Himachal Pradesh,129.30,137.10,0.35,1.32,268.08
Jharkhand,159.09,132.22,0.10,0.30,291.71
Karnataka,157.03,61.76,31.97,1.87,252.62
Kerala,145.34,31.66,0.38,0.91,178.29
Madhya Pradesh,49.27,145.58,0.74,0.45,196.05
Maharashtra,102.85,117.78,14.94,1.44,237.01
Manipur,270.75,2.61,0.04,0.38,273.77
Meghalaya,198.77,17.01,-,0.17,215.95
Mizoram,130.76,2.61,-,0.11,133.48
Nagaland,240.10,10.60,1.41,1.84,253.95
Odisha,170.52,70.71,0.27,0.42,241.92
Punjab,48.99,139.12,1.13,0.58,189.82
Rajasthan,27.60,194.44,2.75,0.45,225.24
Sikkim,243.94,51.25,3.49,1.98,300.66
Tamil Nadu,212.28,29.08,3.13,0.75,245.26
Telangana,266.05,41.78,3.42,1.16,312.41
Tripura,230.44,14.67,0.02,0.02,245.15
Uttar Pradesh,60.78,127.60,0.21,0.21,188.80
Uttarakhand,118.51,133.63,0.45,0.11,252.70
West Bengal,200.76,67.54,0.04,0.07,268.41
Andaman & N. Island,266.49,88.90,0.60,0.01,356.00
Chandigarh,50.78,156.79,0.39,0.51,208.47
Dadra & Nagar Haveli and Daman & Diu,167.93,164.60,7.60,0.88,341.02
Jammu & Kashmir,159.69,107.66,2.04,0.08,269.47
Ladakh,116.16,76.23,0.04,0.39,192.82
Lakshadweep,133.13,54.74,-,0.05,187.92
Puducherry,237.21,43.23,5.24,1.78,287.46
All-India,127.61,99.89,5.75,0.75,234.00
