State/UT/All-India,Self-employed in agriculture,Self-employed in non-agriculture,Regular wage/salaried in agriculture,Regular wage/salaried in non-agriculture,Casual labour in agriculture,Casual labour in non-agriculture,Others,All
Andhra Pradesh,"4,906","5,000","5,906","5,335","4,489","4,524","5,292","4,870"
Arunachal Pradesh,"4,610","6,356","5,097","6,543","2,695","5,811","8,306","5,276"
Assam,"3,349","3,622","2,726","4,101","2,895","3,282","4,320","3,432"
Bihar,"3,423","3,629","3,285","3,666","3,089","3,213","3,577","3,384"
Chhattisgarh,"2,355","2,642","3,203","3,087","2,158","2,092","3,511","2,466"
Delhi,"7,457","5,526","7,726","6,994","4,640","6,285","7,488","6,576"
Goa,"6,175","8,130",-,"7,277","4,411","6,380","8,227","7,367"
Gujarat,"3,834","4,082","3,698","4,355","3,236","3,409","5,221","3,798"
Haryana,"5,395","4,906","5,929","5,326","3,986","4,088","5,325","4,859"
Himachal Pradesh,"5,229","5,166","4,081","6,130","4,031","4,105","8,630","5,561"
Jharkhand,"2,500","3,237","2,804","3,376","2,387","2,612","2,930","2,763"
Karnataka,"4,332","4,823","3,888","5,154","3,954","4,341","4,895","4,397"
Kerala,"6,908","6,122","5,078","6,525","4,708","4,840","6,514","5,924"
Madhya Pradesh,"3,194","3,495","3,395","4,052","2,770","2,736","3,574","3,113"
Maharashtra,"3,784","4,625","4,113","5,813","2,978","3,445","5,304","4,010"
Manipur,"3,856","4,777","5,603","5,102","3,687","4,027","4,466","4,360"
Meghalaya,"3,265","4,124","3,974","4,435","2,794","3,192","4,585","3,514"
Mizoram,"4,338","5,760","6,991","6,435","4,815","5,176","5,823","5,224"
Nagaland,"3,922","5,032","6,729","5,488","5,914","4,066","6,915","4,393"
Odisha,"2,744","3,422","3,717","3,796","2,564","2,725","3,208","2,950"
Punjab,"6,370","5,069","4,352","5,293","4,407","4,479","7,307","5,315"
Rajasthan,"4,095","4,478","3,862","4,807","3,362","3,479","8,974","4,263"
Sikkim,"6,653","8,756","8,642","8,391","6,266","8,176","10,166","7,731"
Tamil Nadu,"5,342","5,783","5,157","5,917","4,594","4,857","6,041","5,310"
Telangana,"4,678","5,164","5,355","5,646","4,387","4,914","5,035","4,802"
Tripura,"4,768","5,380","5,534","6,344","4,646","5,007","6,681","5,206"
Uttar Pradesh,"3,318","3,354","3,323","3,638","2,917","2,783","3,173","3,191"
Uttarakhand,"4,312","4,964","4,369","5,465","3,939","3,713","5,844","4,641"
West Bengal,"3,234","3,641","2,904","3,919","2,774","2,905","3,781","3,239"
Andaman & N. Island,"5,727","7,264","8,178","8,416","5,620","6,708","8,666","7,332"
Chandigarh,"7,233","7,017","5,800","8,179","5,569","6,039","11,377","7,467"
Dadra & Nagar Haveli and Daman & Diu,"3,105","5,174","3,155","5,004","4,456","3,790","4,328","4,184"
Jammu & Kashmir,"4,466","4,548","3,471","4,932","3,306","3,107","5,335","4,296"
Ladakh,"2,966","3,824","4,745","4,702","5,487","5,073","2,923","4,035"
Lakshadweep,"5,046","5,428","7,068","6,095","5,738","5,837","8,214","5,895"
Puducherry,"7,160","5,992","5,784","6,486","5,206","4,921","14,925","6,590"
All-India,"3,702","4,074","3,597","4,533","3,273","3,315","4,684","3,773"
