sl. no.,item category,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,A & N Island,Chandigarh,Dadra & Nagar Haveli and Daman & Diu,Jammu & Kashmir,Ladakh,Lakshadweep,Puducherry,All-India
1.,cereal,312.20,246.25,282.47,307.62,187.16,227.61,284.98,194.53,195.30,208.26,225.64,366.83,205.06,194.00,231.47,278.47,158.21,145.04,292.76,217.41,196.60,259.79,239.98,345.13,386.76,285.63,234.17,252.65,376.20,256.43,212.50,243.16,264.01,136.44,215.30,280.46,266.32
2.,cereal substitutes,-,0.00,0.00,0.02,0.00,-,-,0.23,0.03,0.01,-,0.04,8.89,1.51,5.86,-,-,-,1.53,0.00,0.02,0.11,2.00,0.38,0.01,-,0.05,0.00,-,-,-,-,0.18,-,-,-,0.76
3.,gram,5.17,5.12,3.11,9.59,8.02,19.02,25.22,15.22,14.23,15.95,10.09,11.55,13.69,10.46,9.69,5.76,1.33,0.54,1.34,5.17,19.69,8.24,10.41,7.74,3.61,1.67,10.56,15.95,5.61,10.75,16.87,15.26,5.30,2.79,25.15,9.95,9.24
4.,pulses and pulse products*,84.87,43.61,55.20,68.43,78.04,88.71,83.57,63.42,48.55,101.12,55.55,84.68,74.87,73.99,77.41,31.68,29.63,35.20,35.32,78.32,68.69,34.81,76.86,79.91,65.92,47.00,66.18,105.96,48.64,122.51,80.52,96.38,68.26,46.13,84.43,103.97,66.81
5.,sugar,22.70,15.37,17.18,24.40,26.14,48.00,34.33,36.81,49.33,42.42,15.12,36.47,34.56,38.53,44.25,12.26,19.16,15.01,14.05,20.81,55.15,48.91,31.01,19.85,18.36,14.23,33.62,47.74,21.78,39.29,40.58,21.30,29.07,14.60,63.71,23.45,31.34
6.,salt,4.89,3.50,3.94,4.86,1.49,5.59,4.25,2.69,4.36,2.77,3.45,3.88,2.92,2.08,4.35,3.79,3.78,6.22,3.98,4.29,4.69,4.10,3.07,3.55,4.79,4.02,3.90,4.89,5.37,5.15,3.95,5.13,6.80,5.36,5.67,3.91,4.05
7.,milk and milk products,305.93,199.30,149.82,309.51,84.84,813.31,419.12,476.35,933.28,629.21,147.29,234.08,224.65,302.94,226.87,140.22,118.77,147.29,162.94,96.60,782.39,660.85,659.79,249.21,266.62,232.39,337.02,427.30,122.51,293.32,997.98,301.68,482.46,516.93,177.00,325.87,314.22
8.,vegetables,226.87,362.28,252.55,214.63,211.74,284.72,298.86,222.91,273.52,271.10,167.52,220.79,199.71,162.67,184.12,235.08,282.72,377.09,293.42,217.75,244.26,162.24,429.18,244.60,210.65,341.35,173.69,221.11,207.78,417.42,241.84,280.65,197.62,213.07,219.42,225.45,202.86
9.,fruits (fresh),145.46,153.33,109.35,92.79,61.88,156.25,309.73,86.63,95.55,131.88,60.46,139.44,216.52,76.54,89.23,117.90,103.31,139.05,116.69,80.18,114.26,77.58,161.87,154.25,124.49,185.54,69.93,104.24,88.72,206.06,201.05,104.13,105.06,126.16,264.74,208.99,95.87
10.,fruits (dry),74.37,57.36,35.84,43.02,17.86,78.55,89.98,31.91,47.47,64.10,21.56,59.70,44.22,30.42,77.39,31.27,16.37,45.64,16.21,13.18,51.18,48.75,94.35,51.75,45.04,58.84,44.63,66.31,24.26,59.65,41.14,18.53,58.58,87.71,116.05,98.74,44.29
11.,"egg, fish & meat",317.41,519.13,371.59,202.59,102.47,103.66,679.59,47.64,47.02,135.13,185.56,222.31,545.44,71.21,147.00,520.05,442.57,611.94,652.53,186.70,66.88,49.15,555.02,325.22,321.05,656.13,99.42,131.77,312.64,636.75,194.24,162.29,219.33,318.85,614.86,319.17,185.16
12.,edible oil,148.60,106.83,131.98,160.13,124.90,167.14,113.59,188.74,83.53,132.57,114.62,131.03,116.73,129.41,153.05,113.10,95.69,143.46,73.47,115.18,125.82,107.52,179.20,97.58,141.39,145.43,133.97,137.35,148.95,170.96,201.83,177.60,142.53,103.43,123.46,183.55,135.81
13.,spices,152.61,91.56,95.24,104.36,87.48,150.93,180.97,131.21,163.91,99.10,86.22,138.63,169.98,96.60,121.66,114.36,56.43,101.20,90.10,95.37,100.21,122.09,181.57,158.09,125.07,152.13,94.78,122.61,104.78,189.12,141.24,124.30,112.11,115.13,192.74,156.21,112.58
14.,"beverages, processed food#, etc.",459.18,900.49,458.11,339.59,239.39,520.51,"1,038.41",389.23,323.25,587.08,271.40,501.83,490.53,260.13,326.97,444.69,374.68,749.40,425.11,325.26,470.87,362.91,"1,344.17",635.00,471.42,519.31,272.00,413.57,349.55,892.60,660.65,473.02,458.84,724.02,727.45,737.28,363.06
15.,food: total (1-14),"2,260.26","2,704.13","1,966.38","1,881.56","1,231.41","2,664.00","3,562.59","1,887.53","2,279.34","2,420.70","1,364.51","2,151.26","2,347.76","1,450.50","1,699.32","2,048.64","1,702.63","2,517.06","2,179.46","1,456.21","2,300.70","1,947.04","3,968.48","2,372.27","2,185.18","2,643.68","1,573.94","2,051.45","1,816.79","3,300.00","3,034.36","2,023.43","2,150.13","2,410.63","2,829.97","2,676.99","1,832.38"
16.,"pan, tobacco & intoxicants",188.54,427.84,202.58,95.87,153.37,354.03,112.28,121.65,147.52,166.80,100.33,193.88,111.23,183.69,89.84,246.18,291.23,360.30,172.89,125.88,113.54,159.74,500.32,213.88,373.42,310.65,107.40,272.19,111.84,666.03,453.60,155.66,100.78,125.33,193.46,193.75,142.86
17.,fuel and light,281.44,267.06,239.70,219.37,216.35,516.66,383.08,269.34,333.89,345.47,196.22,256.34,358.28,171.44,283.52,281.49,200.20,376.69,268.95,260.55,447.53,289.72,305.06,281.99,226.74,329.76,223.95,296.88,257.80,360.83,433.64,325.78,275.65,267.13,456.71,346.42,251.30
18.,toilet articles,132.42,163.04,103.06,95.99,90.92,255.10,224.22,95.18,119.92,205.21,74.15,113.54,118.12,96.08,104.21,155.32,103.67,193.80,174.57,92.29,167.29,106.40,209.79,137.79,121.00,152.16,94.16,130.48,97.72,220.89,234.65,125.98,104.04,93.32,158.29,194.26,105.29
19.,other household consumables,137.77,109.03,69.66,75.88,64.05,135.02,206.78,80.27,102.78,123.97,66.63,120.97,97.00,87.03,91.01,82.65,85.67,114.23,113.16,65.61,108.55,94.87,216.40,150.26,106.94,103.42,76.92,93.67,66.03,153.59,183.06,86.38,90.81,72.68,123.20,147.42,88.05
20.,education,144.20,88.39,60.91,100.57,36.87,276.59,113.23,73.93,275.98,293.10,83.72,124.18,166.23,88.56,141.39,217.32,136.37,90.25,142.23,69.86,245.84,186.86,165.41,186.83,164.36,211.54,115.26,200.65,97.11,115.98,159.26,61.91,190.97,91.57,19.89,625.36,124.69
21.,medical (hospitalization),126.98,15.31,38.55,60.43,30.50,17.99,68.27,100.79,129.83,85.75,59.08,140.26,256.33,55.49,161.11,31.67,12.10,20.52,13.28,45.22,172.82,69.55,30.71,138.77,103.37,75.50,84.47,97.53,51.02,115.06,5.80,19.72,45.03,13.39,47.85,109.78,89.04
22.,medical (non- hospitalization),325.67,96.65,91.45,155.67,99.09,126.00,273.72,127.21,196.69,249.06,120.97,160.31,389.22,144.81,186.62,98.91,63.31,145.71,103.99,156.89,278.41,172.11,180.17,216.82,182.84,258.03,178.56,168.23,215.30,69.98,258.18,78.59,223.32,76.26,64.13,196.79,179.82
23.,conveyance,409.72,377.18,202.43,157.70,200.56,685.07,896.67,320.74,368.31,408.79,183.36,378.61,682.67,260.41,378.71,433.99,249.56,238.31,273.22,190.37,497.46,376.83,394.01,553.48,416.09,294.22,212.01,331.43,132.92,514.03,584.44,338.38,327.80,266.11,543.91,752.77,284.76
24.,consumer services excluding conveyance&,225.02,207.14,146.12,158.24,114.64,298.54,427.04,181.07,237.48,323.05,146.38,229.88,338.99,158.53,242.76,189.43,188.19,258.28,195.82,117.03,276.29,249.48,468.40,273.13,254.39,189.04,169.27,269.81,127.06,316.02,357.43,200.65,235.31,205.36,359.46,321.99,191.65
25.,entertainment,89.36,60.03,35.30,36.19,17.56,141.27,134.10,42.89,41.47,39.87,19.68,68.80,89.66,24.78,45.80,53.33,39.22,72.75,49.79,34.84,43.41,20.82,120.75,82.91,82.48,70.16,25.60,54.03,40.33,90.49,97.19,31.29,20.63,24.60,68.15,89.80,40.99
26.,rent,54.05,38.16,12.89,13.36,11.82,206.19,147.36,22.30,18.69,65.20,4.60,42.06,59.41,6.99,98.03,30.38,10.91,130.37,26.97,7.51,38.71,39.41,152.24,85.40,33.73,26.14,7.29,27.84,9.00,211.23,744.52,266.65,26.34,0.23,130.72,301.73,29.50
27.,other taxes & cesses,10.44,8.26,5.79,2.87,3.25,0.01,8.29,8.50,0.11,0.62,2.52,13.89,10.22,2.08,17.18,8.12,6.26,13.08,3.73,2.93,0.65,0.71,13.62,7.53,11.53,2.77,0.45,0.96,2.57,5.85,-,6.61,0.10,-,4.18,18.33,4.79
28.,clothing & bedding$,222.89,294.73,183.31,170.36,141.91,272.77,252.85,203.28,240.51,333.36,156.54,194.81,238.63,182.77,216.04,187.72,218.27,193.80,352.28,188.20,339.59,237.95,398.64,260.10,261.10,279.96,169.93,285.46,181.42,363.55,473.79,240.81,248.93,179.57,367.00,258.41,199.93
29.,footwear,31.06,53.66,24.76,24.74,20.76,44.62,55.43,32.11,51.89,84.70,24.67,34.06,40.14,36.67,35.98,42.31,55.30,78.12,97.73,21.91,69.10,43.11,132.32,32.94,29.30,58.01,30.46,55.10,24.33,57.25,91.14,35.90,50.40,47.33,70.41,40.20,32.86
