State/UT/All-India,rice,wheat,coarse grains,other cereals,total cereals
Andhra Pradesh,279.04,24.26,8.08,0.82,312.20
Arunachal Pradesh,236.70,7.99,0.92,0.64,246.25
Assam,266.02,16.11,0.04,0.30,282.47
Bihar,166.22,140.61,0.67,0.12,307.62
Chhattisgarh,158.23,28.82,0.05,0.06,187.16
Delhi,84.34,142.72,0.27,0.27,227.61
Goa,191.92,87.11,3.13,2.82,284.98
Gujarat,59.52,95.84,37.19,1.99,194.53
Haryana,34.51,157.12,3.18,0.49,195.30
Himachal Pradesh,86.99,113.46,6.39,1.42,208.26
Jharkhand,147.44,77.21,0.68,0.31,225.64
Karnataka,245.39,53.78,65.25,2.42,366.83
Kerala,174.32,28.91,0.56,1.27,205.06
Madhya Pradesh,57.63,131.42,4.36,0.58,194.00
Maharashtra,89.16,108.18,32.65,1.49,231.47
Manipur,276.88,1.22,0.15,0.22,278.47
Meghalaya,152.06,6.14,0.01,-,158.21
Mizoram,142.61,2.42,-,0.01,145.04
Nagaland,285.34,2.93,1.37,3.11,292.76
Odisha,180.72,34.63,1.24,0.82,217.41
Punjab,41.91,151.91,1.73,1.04,196.60
Rajasthan,16.43,213.96,28.01,1.39,259.79
Sikkim,199.85,33.70,3.47,2.96,239.98
Tamil Nadu,309.78,28.50,5.08,1.76,345.13
Telangana,349.63,23.41,12.15,1.57,386.76
Tripura,275.12,10.50,-,0.01,285.63
Uttar Pradesh,97.40,136.10,0.37,0.31,234.17
Uttarakhand,111.14,139.08,1.79,0.64,252.65
West Bengal,309.16,66.98,0.03,0.03,376.20
Andaman & N. Island,198.88,57.28,0.25,0.02,256.43
Chandigarh,53.16,158.88,0.17,0.28,212.50
Dadra & Nagar Haveli and Daman & Diu,145.88,84.67,12.08,0.53,243.16
Jammu & Kashmir,163.53,93.29,6.96,0.22,264.01
Ladakh,92.02,42.93,0.82,0.66,136.44
Lakshadweep,165.21,49.66,0.39,0.05,215.30
Puducherry,243.63,32.56,4.12,0.15,280.46
All-India,154.44,101.05,10.05,0.77,266.32
