State/UT/All-India,rice,wheat,coarse grains,other cereals,total cereals
Andhra Pradesh,287.79,32.56,5.70,0.47,326.52
Arunachal Pradesh,286.85,21.42,0.07,0.22,308.56
Assam,279.91,36.15,0.01,0.34,316.41
Bihar,185.36,156.65,0.17,0.15,342.33
Chhattisgarh,180.57,76.77,0.06,0.53,257.94
Delhi,85.00,153.59,0.03,0.58,239.19
Goa,219.24,96.98,1.56,1.23,319.01
Gujarat,83.79,152.45,9.67,1.11,247.02
Haryana,74.08,187.55,2.64,0.44,264.71
Himachal Pradesh,130.39,138.28,0.35,1.32,270.34
Jharkhand,171.11,134.69,0.10,0.30,306.20
Karnataka,259.86,63.46,40.15,1.87,365.33
Kerala,163.52,33.18,0.38,0.91,197.98
Madhya Pradesh,60.67,156.59,0.74,0.45,218.45
Maharashtra,114.27,126.13,14.95,1.44,256.78
Manipur,292.53,2.61,0.04,0.38,295.55
Meghalaya,200.34,17.14,-,0.17,217.65
Mizoram,139.39,2.61,-,0.11,142.11
Nagaland,300.27,10.60,1.41,1.84,314.12
Odisha,198.93,70.86,0.32,0.42,270.52
Punjab,48.99,172.26,1.13,0.58,222.96
Rajasthan,27.64,250.84,2.75,0.45,281.68
Sikkim,263.68,51.25,3.49,1.98,320.40
Tamil Nadu,306.38,35.92,3.20,0.75,346.25
Telangana,357.11,41.78,3.43,1.16,403.48
Tripura,298.25,15.10,0.02,0.02,313.40
Uttar Pradesh,95.44,155.14,0.36,0.21,251.14
Uttarakhand,129.32,142.13,0.45,0.11,272.01
West Bengal,319.41,103.70,0.04,0.07,423.23
Andaman & N. Island,266.49,88.90,0.60,0.01,356.00
Chandigarh,50.78,158.32,0.39,0.51,210.00
Dadra & Nagar Haveli and Daman & Diu,173.71,165.86,7.60,0.88,348.05
Jammu & Kashmir,176.27,111.04,2.04,0.08,289.43
Ladakh,123.53,80.17,0.04,0.39,204.13
Lakshadweep,150.55,54.74,-,0.05,205.33
Puducherry,263.62,43.27,5.24,1.78,313.92
All-India,171.32,114.29,6.30,0.75,292.65
