State/UT/All-India,Scheduled Tribe,Scheduled Caste,Other backward class,Others,All
Andhra Pradesh,"3,956","4,699","4,957","5,637","4,996"
Arunachal Pradesh,"5,543","5,469","4,443","4,047","5,300"
Assam,"3,404","3,503","3,527","3,629","3,546"
Bihar,"2,994","3,131","3,552","3,745","3,454"
Chhattisgarh,"2,367","2,473","2,771","3,273","2,575"
Delhi,"5,230","6,046","7,111","6,437","6,595"
Goa,"7,112","5,950","6,761","7,856","7,388"
Gujarat,"3,452","3,611","3,666","4,621","3,820"
Haryana,"4,993","4,383","4,819","5,529","4,912"
Himachal Pradesh,"7,002","4,578","5,434","5,919","5,573"
Jharkhand,"2,248","2,870","3,035","3,508","2,796"
Karnataka,"4,284","4,459","4,547","5,137","4,578"
Kerala,"4,650","5,121","5,423","7,480","5,960"
Madhya Pradesh,"2,698","3,037","3,344","3,743","3,158"
Maharashtra,"2,802","3,808","4,088","4,762","4,076"
Manipur,"4,097","5,362","4,344","4,862","4,370"
Meghalaya,"3,467","4,121","5,990","4,711","3,530"
Mizoram,"5,282","3,514","2,908",-,"5,243"
Nagaland,"4,465","4,304","4,138","4,132","4,457"
Odisha,"2,423","2,954","3,305","3,532","2,996"
Punjab,"5,346","4,651","5,364","6,316","5,363"
Rajasthan,"3,322","3,883","4,604","5,495","4,348"
Sikkim,"7,848","6,821","7,905","7,520","7,787"
Tamil Nadu,"4,872","5,067","5,596","5,940","5,457"
Telangana,"4,538","4,716","5,092","5,415","4,959"
Tripura,"4,839","5,425","5,629","5,706","5,301"
Uttar Pradesh,"2,394","2,991","3,277","3,821","3,277"
Uttarakhand,"4,725","3,917","4,489","5,189","4,721"
West Bengal,"2,840","3,330","3,403","3,585","3,407"
Andaman & N. Island,"6,588","3,580","8,080","7,243","7,332"
Chandigarh,"5,851","6,370","6,068","8,193","7,467"
Dadra & Nagar Haveli and Daman & Diu,"3,293","4,617","5,492","5,852","4,229"
Jammu & Kashmir,"3,394","4,493","3,858","4,661","4,357"
Ladakh,"4,300",-,"2,783","2,163","4,062"
Lakshadweep,"5,834","9,427","11,914","15,676","5,979"
Puducherry,"4,729","5,111","8,063","10,393","6,627"
All-India,"3,098","3,571","3,935","4,472","3,860"
