State/UT/All-India,Scheduled Tribe,Scheduled Caste,Other backward class,Others,All
Andhra Pradesh,"6,426","6,515","6,438","7,718","6,877"
Arunachal Pradesh,"8,960","8,126","8,244","8,028","8,649"
Assam,"5,473","5,269","6,442","6,472","6,210"
Bihar,"3,702","3,728","4,556","6,323","4,819"
Chhattisgarh,"4,160","3,766","4,042","5,888","4,557"
Delhi,"8,073","6,216","7,564","9,489","8,250"
Goa,"7,153","9,716","9,754","8,917","8,761"
Gujarat,"5,340","5,336","5,881","7,695","6,630"
Haryana,"6,262","5,939","7,119","9,449","7,948"
Himachal Pradesh,"8,247","7,249","6,994","8,466","8,083"
Jharkhand,"3,775","3,910","4,760","6,005","4,946"
Karnataka,"6,155","6,527","7,628","9,188","7,781"
Kerala,"9,429","5,862","6,465","8,838","7,102"
Madhya Pradesh,"4,482","4,446","4,688","5,940","5,011"
Maharashtra,"5,366","5,528","5,942","7,498","6,683"
Manipur,"4,650","4,328","4,553","5,499","4,902"
Meghalaya,"6,051","5,709","5,883","8,051","6,450"
Mizoram,"7,658","8,351","8,148","6,782","7,664"
Nagaland,"7,228","7,199","6,224","6,282","7,159"
Odisha,"3,609","4,547","5,086","6,276","5,223"
Punjab,"5,832","5,402","6,326","7,747","6,577"
Rajasthan,"5,874","4,795","5,592","7,207","5,970"
Sikkim,"12,884","8,707","12,270","11,862","12,125"
Tamil Nadu,"6,219","6,549","7,899","7,952","7,742"
Telangana,"6,439","6,927","7,928","9,595","8,251"
Tripura,"8,995","6,848","7,062","8,008","7,473"
Uttar Pradesh,"4,698","4,574","4,723","6,119","5,104"
Uttarakhand,"6,253","6,024","5,871","7,779","7,034"
West Bengal,"5,402","4,789","4,510","5,778","5,426"
Andaman & N. Island,"9,510","12,310","12,193","9,646","10,268"
Chandigarh,"8,751","8,475","13,648","13,263","12,577"
Dadra & Nagar Haveli and Daman & Diu,"5,333","5,631","6,107","6,889","6,306"
Jammu & Kashmir,"4,962","5,360","5,835","6,405","6,200"
Ladakh,"6,003","9,031","9,105","5,702","6,227"
Lakshadweep,"5,444","9,329","9,914","16,764","5,511"
Puducherry,-,"5,992","8,000","6,558","7,741"
All-India,"5,472","5,386","6,245","7,382","6,521"
