State/UT/All-India,Rural Average MPCE (Rs),Rural Gini Coefficient,Urban Average MPCE (Rs),Urban Gini Coefficient
Andhra Pradesh,"4,996",0.237,"6,877",0.276
Arunachal Pradesh,"5,300",0.277,"8,649",0.276
Assam,"3,546",0.200,"6,210",0.280
Bihar,"3,454",0.215,"4,819",0.273
Chhattisgarh,"2,575",0.257,"4,557",0.305
Delhi,"6,595",0.211,"8,250",0.336
Goa,"7,388",0.212,"8,761",0.251
Gujarat,"3,820",0.224,"6,630",0.280
Haryana,"4,912",0.230,"7,948",0.329
Himachal Pradesh,"5,573",0.287,"8,083",0.310
Jharkhand,"2,796",0.253,"4,946",0.294
Karnataka,"4,578",0.218,"7,781",0.299
Kerala,"5,960",0.284,"7,102",0.335
Madhya Pradesh,"3,158",0.227,"5,011",0.288
Maharashtra,"4,076",0.287,"6,683",0.312
Manipur,"4,370",0.217,"4,902",0.219
Meghalaya,"3,530",0.222,"6,450",0.266
Mizoram,"5,243",0.242,"7,664",0.216
Nagaland,"4,457",0.241,"7,159",0.231
Odisha,"2,996",0.228,"5,223",0.327
Punjab,"5,363",0.218,"6,577",0.265
Rajasthan,"4,348",0.276,"5,970",0.287
Sikkim,"7,787",0.213,"12,125",0.272
Tamil Nadu,"5,457",0.238,"7,742",0.275
Telangana,"4,959",0.202,"8,251",0.272
Tripura,"5,301",0.198,"7,473",0.226
Uttar Pradesh,"3,277",0.224,"5,104",0.288
Uttarakhand,"4,721",0.237,"7,034",0.299
West Bengal,"3,407",0.214,"5,426",0.290
Andaman & N. Island,"7,332",0.263,"10,268",0.252
Chandigarh,"7,467",0.213,"12,577",0.280
Dadra & Nagar Haveli and Daman & Diu,"4,229",0.283,"6,306",0.209
Jammu & Kashmir,"4,357",0.251,"6,200",0.241
Ladakh,"4,062",0.280,"6,227",0.278
Lakshadweep,"5,979",0.249,"5,511",0.215
Puducherry,"6,627",0.262,"7,741",0.240
All-India,"3,860",0.261,"6,521",0.309
